            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -6.133417267516543E+08,  3.400194138053554E+08,  2.225348333608298E+08,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.489096691311944E+08,  2.959791250024548E+08,  1.799587640999948E+08,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.786794510687271E+08,  2.492972233162708E+08,  1.357761357628988E+08,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.023876352411940E+08,  2.003912282538270E+08,  9.038188924717383E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.198313136189691E+08,  1.496999364952384E+08,  4.418224183487532E+07,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.308701769677273E+08,  9.767810832713628E+07, -2.410186907291109E+06,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.354275929140024E+08,  4.479098084872591E+07, -4.898128314765967E+07,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.334906783349867E+08, -8.491277055816812E+06, -9.512027607792242E+07,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.251094122448723E+08, -6.169904721049270E+07, -1.404244038743524E+08,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.103948497185278E+08, -1.143685674032646E+08, -1.845033177814906E+08,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.895165137764816E+08, -1.660469512085651E+08, -2.269831421267568E+08,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.626990575856800E+08, -2.162968509560459E+08, -2.675101309040203E+08,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.302183342280964E+08, -2.647006877866293E+08, -3.057538792007049E+08,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -5.923969768842831E+08, -3.108643962237189E+08, -3.414100533242632E+08,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -5.495996160891408E+08, -3.544206550921011E+08, -3.742026291841180E+08,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -5.022278505325590E+08, -3.950315953802398E+08, -4.038856432435958E+08,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.507150991745977E+08, -4.323909822641555E+08, -4.302444759413225E+08,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -3.955214168117777E+08, -4.662258819079242E+08, -4.530966787285733E+08,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -3.371283710937989E+08, -4.962978507209612E+08, -4.722923929419977E+08,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -2.760340576801353E+08, -5.224036769417477E+08, -4.877143967185039E+08,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -2.127483153810226E+08, -5.443757145912218E+08, -4.992778214702224E+08,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -1.477881785858165E+08, -5.620818547090095E+08, -5.069295789339433E+08,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -8.167360753492466E+07, -5.754251876241403E+08, -5.106475554915848E+08,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -1.492351851313701E+07, -5.843433961724883E+08, -5.104396080960163E+08,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  5.194788072009780E+07, -5.888079238236448E+08, -5.063423986706146E+08,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  1.184344537139562E+08, -5.888229641348511E+08, -4.984201114282467E+08,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  1.840411931254137E+08, -5.844243112514477E+08, -4.867630869233776E+08,
