

*******************************************************************************
Ephemeris / WWW_USER Fri May 20 08:54:25 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1437 Diomedes (1937 PB)         {source: JPL#83}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jul-19 00:00:00.0000 TDB
Step-size       : 86400 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457851.5 ! 2017-Apr-08.00 (TDB)         Residual RMS= .19159        
   EC= .04381234924980067  QR= 4.968527435671341   TP= 2459715.5734457956      
   OM= 315.7942054904342   W=  131.4201529625925   IN= 20.48985231034805       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.959923653667065E+00  Y=-4.232773987149720E+00  Z=-2.729370217438123E+00
  VX= 6.472826702197107E-03 VY= 1.204194175887729E-03 VZ= 3.035307054684252E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 58.893             ROTPER= 24.49               
   H= 8.27                 G= .150                 B-V= .700                   
                           ALBEDO= .061            STYP= DP                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -5.660782514693227E+08,  4.391663799586726E+08,  1.723219027306580E+08,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.073510599485738E+08,  4.019219766787175E+08,  1.292062455117230E+08,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -6.432858602671367E+08,  3.611502736082061E+08,  8.495666258625285E+07,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -6.736341299322263E+08,  3.172468063883510E+08,  3.997067075437510E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -6.982045453178344E+08,  2.706262907212448E+08, -5.357043514436212E+06,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.168622436947955E+08,  2.217174505851510E+08, -5.063855419104981E+07,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.295273964404939E+08,  1.709581108655323E+08, -9.549619501323883E+07,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.361732059750533E+08,  1.187906099309485E+08, -1.395656136407923E+08,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.368234599157463E+08,  6.565758248441614E+07, -1.824983843776883E+08,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.315497555175529E+08,  1.199814147813606E+07, -2.239641948411682E+08,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -7.204684895184405E+08, -4.175552850113101E+07, -2.636526265601926E+08,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -7.037377049750448E+08, -9.518118353845026E+07, -3.012745672900741E+08,
