

*******************************************************************************
Ephemeris / WWW_USER Fri May 20 08:56:27 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1647 Menelaus (1957 MK)         {source: JPL#45}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jul-19 00:00:00.0000 TDB
Step-size       : 86400 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457577.5 ! 2016-Jul-08.00 (TDB)         Residual RMS= .23913        
   EC= .0222541789993519   QR= 5.098776579327465   TP= 2456983.9123927536      
   OM= 240.3161462067316   W=  299.3342896448588   IN= 5.649966356422364       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-3.249296734642639E+00  Y=-3.620201587251248E+00  Z=-1.661291458450406E+00
  VX= 5.801472120338012E-03 VY=-4.806068711167916E-03 VZ=-1.277612822813888E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 21.358             ROTPER= 17.74               
   H= 10.53                G= .150                 B-V= n.a.                   
                           ALBEDO= .056            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -6.693077111651803E+08,  3.252474019141219E+08,  6.101003625182007E+07,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -6.970979171943020E+08,  2.656479135405432E+08,  3.591057934843337E+07,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.189368066641797E+08,  2.037811648072751E+08,  1.050442776608823E+07,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.346496876548532E+08,  1.401781264034744E+08, -1.499160688882829E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.441207598133506E+08,  7.538368472691922E+07, -4.036089585664683E+07,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.472937833673036E+08,  9.950289602260752E+06, -6.538945525720640E+07,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.441718520704771E+08, -5.556836809130996E+07, -8.986831477842872E+07,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.348162905705816E+08, -1.206235217933861E+08, -1.135957451046447E+08,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.193447491654991E+08, -1.846772196454265E+08, -1.363793078084258E+08,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -6.979285790846684E+08, -2.472078338140199E+08, -1.580376951256306E+08,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.707895850957061E+08, -3.077150948131329E+08, -1.784023323619948E+08,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.381962454638724E+08, -3.657245925667660E+08, -1.973187291291896E+08,
