

*******************************************************************************
Ephemeris / WWW_USER Fri May 20 09:01:24 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1869 Philoctetes (4596 P-L)     {source: JPL#41}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jul-19 00:00:00.0000 TDB
Step-size       : 86400 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457674.5 ! 2016-Oct-13.00 (TDB)         Residual RMS= .23549        
   EC= .06721676546177675  QR= 4.873221478839133   TP= 2459361.9560429589      
   OM= 43.98506129696147   W=  321.12690097567     IN= 3.974391329274077       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.143049278342413E+00  Y=-3.326178754809769E+00  Z=-1.421274693950979E+00
  VX= 4.903049947553474E-03 VY=-4.542409104105552E-03 VZ=-2.508675914587825E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 11.3275            ROTPER= n.a.                
   H= 11.15                G= .150                 B-V= n.a.                   
                           ALBEDO= .104            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -8.046781198984416E+08,  1.227275217103058E+08,  1.048422657471374E+08,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -8.144798301876212E+08,  6.558834269240543E+07,  7.718234109634985E+07,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -8.190370100261564E+08,  8.025518256649683E+06,  4.902494156658249E+07,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -8.183162263500488E+08, -4.959048194022672E+07,  2.055107082898869E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -8.123130574297820E+08, -1.068879812276477E+08, -8.056079140967090E+06,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -8.010523237263714E+08, -1.634954545714130E+08, -3.661178562220473E+07,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.845883375468341E+08, -2.190429256306052E+08, -6.493047055863570E+07,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -7.630051514734225E+08, -2.731634161285481E+08, -9.282640214392018E+07,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -7.364168002392718E+08, -3.254944695078790E+08, -1.201144333957813E+08,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -7.049675245058347E+08, -3.756797638731022E+08, -1.466107854807415E+08,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.688319626714433E+08, -4.233708240613880E+08, -1.721338821687958E+08,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.282152734926246E+08, -4.682288448820349E+08, -1.965052428840829E+08,
