            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  7.621544537014197E+08,  1.708023080702432E+08, -9.454652681971008E+06,  6.45105380E+01,  1.12673698E+02,  8.35678402E+01,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  7.458408010368185E+08,  2.335959764441862E+08,  8.093442264932658E+06,  7.24166624E+01,  1.11472083E+02,  8.04839779E+01,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  7.239537623688084E+08,  2.946397427746924E+08,  2.557956152313337E+07,  8.12349445E+01,  1.09538289E+02,  7.74755423E+01,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  6.966663482532400E+08,  3.534808648451283E+08,  4.287328564868847E+07,  9.06839571E+01,  1.06861127E+02,  7.46443740E+01,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  6.641899053042958E+08,  4.096838714268475E+08,  5.984599173698980E+07,  1.00537152E+02,  1.03439363E+02,  7.20972633E+01,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  6.267724742138468E+08,  4.628333532100309E+08,  7.637169810441257E+07,  1.10605472E+02,  9.92871754E+01,  6.99412679E+01,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  5.846969660798409E+08,  5.125366151680259E+08,  9.232788578141445E+07,  1.20723138E+02,  9.44418076E+01,  6.82767834E+01,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  5.382791727726295E+08,  5.584261739049031E+08,  1.075962898459712E+08,  1.30737785E+02,  8.89745598E+01,  6.71887291E+01,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  4.878656060492572E+08,  6.001620969551382E+08,  1.220636631869339E+08,  1.40504275E+02,  8.30070314E+01,  6.67372136E+01,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  4.338311849304252E+08,  6.374341871049448E+08,  1.356225101690633E+08,  1.49881231E+02,  7.67355100E+01,  6.69499444E+01,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  3.765767815283576E+08,  6.699640064793534E+08,  1.481717878535301E+08,  1.58729512E+02,  7.04668468E+01,  6.78187336E+01,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000,  3.165266276303680E+08,  6.975067261291443E+08,  1.596175718852179E+08,  1.66912060E+02,  6.46657246E+01,  6.93013224E+01,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000,  2.541255850043012E+08,  7.198528047010844E+08,  1.698736877474273E+08,  1.74294732E+02,  5.99961913E+01,  7.13278926E+01,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000,  1.898362930270279E+08,  7.368294913702936E+08,  1.788623039151724E+08,  1.80747818E+02,  5.72961876E+01,  7.38101389E+01,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000,  1.241361993424621E+08,  7.483021403855648E+08,  1.865144844753305E+08,  1.86148047E+02,  5.73832915E+01,  7.66504432E+01,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000,  5.751447200979053E+07,  7.541753235500102E+08,  1.927706983291514E+08,  1.90380899E+02,  6.07047052E+01,  7.97493950E+01,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -9.531195534412393E+06,  7.543937484029113E+08,  1.975812839477064E+08,  1.93343117E+02,  6.71256344E+01,  8.30109704E+01,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -7.649787375137274E+07,  7.489429574537859E+08,  2.009068642420492E+08,  1.94945288E+02,  7.60847038E+01,  8.63455064E+01,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -1.428807789304566E+08,  7.378497992565374E+08,  2.027187087880124E+08,  1.95114425E+02,  8.69021217E+01,  8.96710044E+01,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -2.081767359536351E+08,  7.211826595273100E+08,  2.029990388429989E+08,  1.93796474E+02,  9.89669397E+01,  9.29133660E+01,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -2.718877083540384E+08,  6.990514509530762E+08,  2.017412731408970E+08,  1.90958722E+02,  1.11781934E+02,  9.60060568E+01,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -3.335243723231739E+08,  6.716073276621693E+08,  1.989502069799941E+08,  1.86592074E+02,  1.24946813E+02,  9.88895417E+01,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -3.926097332102508E+08,  6.390421229867818E+08,  1.946421209926834E+08,  1.80713251E+02,  1.38131037E+02,  1.01510711E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -4.486827527906805E+08,  6.015875011321027E+08,  1.888448159803132E+08,  1.73367015E+02,  1.51052539E+02,  1.03822421E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000, -5.013019662613110E+08,  5.595138073093168E+08,  1.815975685684036E+08,  1.64628658E+02,  1.63464140E+02,  1.05783203E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -5.500490587257221E+08,  5.131285994904516E+08,  1.729510014404918E+08,  1.54607152E+02,  1.75145825E+02,  1.07357161E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -5.945323841781517E+08,  4.627748642866739E+08,  1.629668657523730E+08,  1.43449767E+02,  1.85900898E+02,  1.08514069E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -6.343903800860677E+08,  4.088289113925876E+08,  1.517177336112990E+08,  1.31349551E+02,  1.95554507E+02,  1.09229631E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000, -6.692948454507635E+08,  3.516979347225578E+08,  1.392865937501957E+08,  1.18558254E+02,  2.03953564E+02,  1.09485908E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000, -6.989540500309540E+08,  2.918172485923305E+08,  1.257663499267201E+08,  1.05409377E+02,  2.10967422E+02,  1.09271875E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000, -7.231156356766013E+08,  2.296472112825127E+08,  1.112592234429428E+08,  9.23593335E+01,  2.16488857E+02,  1.08584102E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000, -7.415692566983827E+08,  1.656698402308971E+08,  9.587605741692469E+07,  8.00574802E+01,  2.20435083E+02,  1.07427520E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000, -7.541489298548363E+08,  1.003851365054081E+08,  7.973552375853835E+07,  6.94448622E+01,  2.22748604E+02,  1.05816286E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000, -7.607350531859832E+08,  3.430714555310652E+07,  6.296323847455353E+07,  6.18078672E+01,  2.23397777E+02,  1.03774716E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000, -7.612560489243497E+08, -3.204021206784319E+07,  4.569079173267923E+07,  5.85224365E+01,  2.22376996E+02,  1.01338285E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000, -7.556895855188049E+08, -9.812751494074127E+07,  2.805469396857456E+07,  6.02633965E+01,  2.19706460E+02,  9.85546684E+01,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000, -7.440633665590574E+08, -1.634243730781093E+08,  1.019525079862050E+07,  6.63988985E+01,  2.15431513E+02,  9.54848104E+01,
