            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -7.721965821399539E+08,  1.029501913983478E+08, -5.956533032549978E+07,  1.40413472E+02,  1.05784669E+03,  5.77654367E+02,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -7.751511210934232E+08,  4.391106198656459E+07, -9.110080216135535E+07,  6.26462241E+01,  1.06739330E+03,  5.67799465E+02,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.723285920642598E+08, -1.545809695317701E+07, -1.219590885823064E+08,  1.05709242E+02,  1.06900859E+03,  5.53964830E+02,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -7.637569718616968E+08, -7.471520438772386E+07, -1.519115052215450E+08,  2.02351299E+02,  1.06272775E+03,  5.36275837E+02,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -7.495049133386497E+08, -1.334199102065000E+08, -1.807362736868950E+08,  3.03560506E+02,  1.04862597E+03,  5.14882192E+02,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -7.296811624924492E+08, -1.911364006029457E+08, -2.082199117959019E+08,  4.03920164E+02,  1.02681836E+03,  4.89959624E+02,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -7.044337898864013E+08, -2.474361659761174E+08, -2.341585781025135E+08,  5.01816777E+02,  9.97460249E+02,  4.61712840E+02,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -6.739492266075071E+08, -3.019007222043189E+08, -2.583593624034179E+08,  5.96295919E+02,  9.60747818E+02,  4.30380443E+02,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -6.384511085051278E+08, -3.541242876030137E+08, -2.806415244240075E+08,  6.86599180E+02,  9.16919030E+02,  3.96243171E+02,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -5.981989318281943E+08, -4.037164097476104E+08, -3.008376785300562E+08,  7.72052050E+02,  8.66254900E+02,  3.59638147E+02,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -5.534865266293674E+08, -4.503045342016134E+08, -3.187949220479863E+08,  8.52029132E+02,  8.09081218E+02,  3.20984751E+02,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -5.046403291436785E+08, -4.935365031330142E+08, -3.343758950324088E+08,  9.25942477E+02,  7.45770865E+02,  2.80834283E+02,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -4.520174638756574E+08, -5.330829887849438E+08, -3.474597791005228E+08,  9.93238549E+02,  6.76747315E+02,  2.39971605E+02,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -3.960036338066009E+08, -5.686398410705272E+08, -3.579432226851235E+08,  1.05339895E+03,  6.02490571E+02,  1.99636862E+02,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -3.370108125790072E+08, -5.999303398922091E+08, -3.657411867163429E+08,  1.10594310E+03,  5.23548620E+02,  1.62028010E+02,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -2.754747322364445E+08, -6.267073362894641E+08, -3.707877009461162E+08,  1.15043195E+03,  4.40562710E+02,  1.31351665E+02,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -2.118521750086176E+08, -6.487552789902549E+08, -3.730365327438982E+08,  1.18647257E+03,  3.54332138E+02,  1.14906336E+02,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000, -1.466180705285565E+08, -6.658920931006830E+08, -3.724617479879887E+08,  1.21372299E+03,  2.66014330E+02,  1.19637682E+02,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000, -8.026239208052400E+07, -6.779708986200271E+08, -3.690581583187022E+08,  1.23189744E+03,  1.77937351E+02,  1.43674073E+02,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -1.328686454688492E+07, -6.848815503405578E+08, -3.628416470769358E+08,  1.24077160E+03,  9.86880779E+01,  1.79147144E+02,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000,  5.379850452014406E+07, -6.865519766785032E+08, -3.538493631604668E+08,  1.24018786E+03,  7.74172525E+01,  2.20025139E+02,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000,  1.204790623441498E+08, -6.829492835668452E+08, -3.421397657552625E+08,  1.23006032E+03,  1.44480938E+02,  2.63021918E+02,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000,  1.862393037891159E+08, -6.740806112420578E+08, -3.277925171623449E+08,  1.21037944E+03,  2.32924726E+02,  3.06330747E+02,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000,  2.505667925296840E+08, -6.599937176914438E+08, -3.109082125684145E+08,  1.18121619E+03,  3.24661871E+02,  3.48833338E+02,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  3.129561833848597E+08, -6.407772587259761E+08, -2.916079342883508E+08,  1.14272551E+03,  4.15945282E+02,  3.89743903E+02,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  3.729133247495569E+08, -6.165607403865141E+08, -2.700326229462487E+08,  1.09514900E+03,  5.05156140E+02,  4.28452787E+02,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  4.299594025059671E+08, -5.875141382343779E+08, -2.463422669550685E+08,  1.03881664E+03,  5.91196770E+02,  4.64455441E+02,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000,  4.836350788298092E+08, -5.538471497051570E+08, -2.207148989355652E+08,  9.74147584E+02,  6.73157185E+02,  4.97319202E+02,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  5.335045885307598E+08, -5.158080694782921E+08, -1.933454002784728E+08,  9.01649977E+02,  7.50223077E+02,  5.26667844E+02,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  5.791597487829947E+08, -4.736822779975579E+08, -1.644441157751142E+08,  8.21919928E+02,  8.21648160E+02,  5.52174909E+02,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  6.202238280074435E+08, -4.277903500740370E+08, -1.342352873957036E+08,  7.35640318E+02,  8.86747871E+02,  5.73561533E+02,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  6.563552118089224E+08, -3.784857641690333E+08, -1.029553087864795E+08,  6.43580583E+02,  9.44901164E+02,  5.90596553E+02,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  6.872508316165712E+08, -3.261522364822482E+08, -7.085081742312250E+07,  5.46601022E+02,  9.95555584E+02,  6.03097738E+02,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  7.126492903340605E+08, -2.712006930958862E+08, -3.817664033118550E+07,  4.45671626E+02,  1.03823346E+03,  6.10933415E+02,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  7.323336341468393E+08, -2.140659025245178E+08, -5.193612736463469E+06,  3.41940275E+02,  1.07253814E+03,  6.14024063E+02,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  7.461337198875215E+08, -1.552027914415018E+08,  2.783370903134570E+07,  2.37008608E+02,  1.09815969E+03,  6.12343593E+02,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  7.539281489741403E+08, -9.508249223904365E+07,  6.063941319579306E+07,  1.34539430E+02,  1.11487961E+03,  6.05920173E+02,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  7.556457109686930E+08, -3.418816425552762E+07,  9.295864512537548E+07,  5.99655159E+01,  1.12257438E+03,  5.94836460E+02,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  7.512663120076400E+08,  2.698936792419618E+07,  1.245300394727467E+08,  1.12598340E+02,  1.12121748E+03,  5.79229239E+02,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  7.408213724319887E+08,  8.795610106261531E+07,  1.550981400396393E+08,  2.10964484E+02,  1.11087992E+03,  5.59288507E+02,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  7.243936789916958E+08,  1.482193995384451E+08,  1.844157718422062E+08,  3.12116489E+02,  1.09172921E+03,  5.35256167E+02,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  7.021166756252686E+08,  2.072925473699161E+08,  2.122463322409472E+08,  4.11103751E+02,  1.06402657E+03,  5.07424556E+02,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000,  6.741732122663759E+08,  2.646992451645108E+08,  2.383659736094601E+08,  5.06197985E+02,  1.02812275E+03,  4.76135285E+02,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000,  6.407937686375356E+08,  3.199779890152299E+08,  2.625656471628805E+08,  5.96294404E+02,  9.84452333E+02,  4.41779170E+02,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000,  6.022541727971953E+08,  3.726862660934685E+08,  2.846529752792982E+08,  6.80519576E+02,  9.33526947E+02,  4.04798613E+02,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  5.588728454966699E+08,  4.224045239051614E+08,  3.044539344245895E+08,  7.58138579E+02,  8.75927401E+02,  3.65694919E+02,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000,  5.110076306260867E+08,  4.687398575213785E+08,  3.218143300227934E+08,  8.28528120E+02,  8.12295401E+02,  3.25045431E+02,
