            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2305478.500000000, A.D. 1600-Feb-01 00:00:00.0000, -6.298899240890760E+08,  4.470878762954839E+08,  2.072351633447680E+08,
2305538.500000000, A.D. 1600-Apr-01 00:00:00.0000, -6.700578161214861E+08,  3.990843893451859E+08,  1.876295067932057E+08,
2305598.500000000, A.D. 1600-May-31 00:00:00.0000, -7.056108720571874E+08,  3.483330399573475E+08,  1.667318600421586E+08,
2305658.500000000, A.D. 1600-Jul-30 00:00:00.0000, -7.363445746027716E+08,  2.952033904921058E+08,  1.446957400799755E+08,
2305718.500000000, A.D. 1600-Sep-28 00:00:00.0000, -7.620866967959721E+08,  2.400725869184795E+08,  1.216786818638258E+08,
2305778.500000000, A.D. 1600-Nov-27 00:00:00.0000, -7.826981522989531E+08,  1.833262549022931E+08,  9.784271645013896E+07,
2305838.500000000, A.D. 1601-Jan-26 00:00:00.0000, -7.980708984349592E+08,  1.253527265433012E+08,  7.335175138655072E+07,
2305898.500000000, A.D. 1601-Mar-27 00:00:00.0000, -8.081293832754904E+08,  6.654446851446591E+07,  4.837229193167668E+07,
2305958.500000000, A.D. 1601-May-26 00:00:00.0000, -8.128289907958879E+08,  7.295174887214466E+06,  2.307214034990622E+07,
2306018.500000000, A.D. 1601-Jul-25 00:00:00.0000, -8.121560732740948E+08, -5.200318344794299E+07, -2.380932110867605E+06,
2306078.500000000, A.D. 1601-Sep-23 00:00:00.0000, -8.061278186839517E+08, -1.109584384807293E+08, -2.781823502276329E+07,
2306138.500000000, A.D. 1601-Nov-22 00:00:00.0000, -7.947912583137290E+08, -1.691838727623085E+08, -5.307275572719336E+07,
2306198.500000000, A.D. 1602-Jan-21 00:00:00.0000, -7.782236635993345E+08, -2.262964625718841E+08, -7.797828848272727E+07,
2306258.500000000, A.D. 1602-Mar-22 00:00:00.0000, -7.565314147039839E+08, -2.819192241082003E+08, -1.023704801079585E+08,
2306318.500000000, A.D. 1602-May-21 00:00:00.0000, -7.298504725155686E+08, -3.356843871018857E+08, -1.260882812843233E+08,
2306378.500000000, A.D. 1602-Jul-20 00:00:00.0000, -6.983452562643623E+08, -3.872311782842653E+08, -1.489728409706526E+08,
2306438.500000000, A.D. 1602-Sep-18 00:00:00.0000, -6.622089143059202E+08, -4.362114109675917E+08, -1.708700902565570E+08,
2306498.500000000, A.D. 1602-Nov-17 00:00:00.0000, -6.216628504840572E+08, -4.822881492648566E+08, -1.916300603643724E+08,
2306558.500000000, A.D. 1603-Jan-16 00:00:00.0000, -5.769556832713474E+08, -5.251378403590481E+08, -2.111078152533796E+08,
2306618.500000000, A.D. 1603-Mar-17 00:00:00.0000, -5.283642664784497E+08, -5.644539428650645E+08, -2.291651246554770E+08,
2306678.500000000, A.D. 1603-May-16 00:00:00.0000, -4.761912261463925E+08, -5.999451277265558E+08, -2.456695303599674E+08,
2306738.500000000, A.D. 1603-Jul-15 00:00:00.0000, -4.207660458822120E+08, -6.313408150210917E+08, -2.604969085679392E+08,
2306798.500000000, A.D. 1603-Sep-13 00:00:00.0000, -3.624435948686945E+08, -6.583907658529935E+08, -2.735312164274856E+08,
2306858.500000000, A.D. 1603-Nov-12 00:00:00.0000, -3.016023864792467E+08, -6.808673001812044E+08, -2.846654509443887E+08,
2306918.500000000, A.D. 1604-Jan-11 00:00:00.0000, -2.386457342840287E+08, -6.985693140398486E+08, -2.938035187901529E+08,
2306978.500000000, A.D. 1604-Mar-11 00:00:00.0000, -1.739973898377243E+08, -7.113213934682672E+08, -3.008597199354837E+08,
2307038.500000000, A.D. 1604-May-10 00:00:00.0000, -1.081025058337588E+08, -7.189790310265269E+08, -3.057611739347011E+08,
2307098.500000000, A.D. 1604-Jul-09 00:00:00.0000, -4.142473530982713E+07, -7.214291386187685E+08, -3.084480179682737E+08,
2307158.500000000, A.D. 1604-Sep-07 00:00:00.0000,  2.555721453686281E+07, -7.185923146100529E+08, -3.088743991778731E+08,
2307218.500000000, A.D. 1604-Nov-06 00:00:00.0000,  9.234907647662731E+07, -7.104265830918443E+08, -3.070102593858063E+08,
2307278.500000000, A.D. 1605-Jan-05 00:00:00.0000,  1.584478952489787E+08, -6.969272137979643E+08, -3.028411843570005E+08,
2307338.500000000, A.D. 1605-Mar-06 00:00:00.0000,  2.233423478732914E+08, -6.781307893323607E+08, -2.963703456855680E+08,
2307398.500000000, A.D. 1605-May-05 00:00:00.0000,  2.865175057491408E+08, -6.541157360956929E+08, -2.876187822581306E+08,
2307458.500000000, A.D. 1605-Jul-04 00:00:00.0000,  3.474607827882181E+08, -6.250038415728731E+08, -2.766261116272872E+08,
2307518.500000000, A.D. 1605-Sep-02 00:00:00.0000,  4.056627628377131E+08, -5.909621852407697E+08, -2.634515704433755E+08,
2307578.500000000, A.D. 1605-Nov-01 00:00:00.0000,  4.606266086287013E+08, -5.522025099035020E+08, -2.481737596577343E+08,
2307638.500000000, A.D. 1605-Dec-31 00:00:00.0000,  5.118701566490782E+08, -5.089825385742638E+08, -2.308914132118808E+08,
2307698.500000000, A.D. 1606-Mar-01 00:00:00.0000,  5.589321499134951E+08, -4.616046497951716E+08, -2.117229505162413E+08,
2307758.500000000, A.D. 1606-Apr-30 00:00:00.0000,  6.013801777859172E+08, -4.104151337145309E+08, -1.908062609208377E+08,
2307818.500000000, A.D. 1606-Jun-29 00:00:00.0000,  6.388122249390008E+08, -3.558022452148856E+08, -1.682980744347343E+08,
2307878.500000000, A.D. 1606-Aug-28 00:00:00.0000,  6.708669039219652E+08, -2.981933909043437E+08, -1.443728352760119E+08,
2307938.500000000, A.D. 1606-Oct-27 00:00:00.0000,  6.972259516616354E+08, -2.380521243777944E+08, -1.192215808818609E+08,
2307998.500000000, A.D. 1606-Dec-26 00:00:00.0000,  7.176196141835077E+08, -1.758732624854064E+08, -9.304996999564804E+07,
2308058.500000000, A.D. 1607-Feb-24 00:00:00.0000,  7.318338032575752E+08, -1.121789693763975E+08, -6.607670000316536E+07,
2308118.500000000, A.D. 1607-Apr-25 00:00:00.0000,  7.397097489369920E+08, -4.751204602724820E+07, -3.853074252056003E+07,
2308178.500000000, A.D. 1607-Jun-24 00:00:00.0000,  7.411513929268510E+08,  1.756935140693516E+07, -1.064914671736189E+07,
2308238.500000000, A.D. 1607-Aug-23 00:00:00.0000,  7.361250633219644E+08,  8.249848443604706E+07,  1.732581119778047E+07,
2308298.500000000, A.D. 1607-Oct-22 00:00:00.0000,  7.246605350949385E+08,  1.467077815764848E+08,  4.514992670275746E+07,
2308358.500000000, A.D. 1607-Dec-21 00:00:00.0000,  7.068537674076500E+08,  2.096341284837714E+08,  7.257931448760913E+07,
2308418.500000000, A.D. 1608-Feb-19 00:00:00.0000,  6.828619949203100E+08,  2.707280590127468E+08,  9.937440985409096E+07,
2308478.500000000, A.D. 1608-Apr-19 00:00:00.0000,  6.529052885563900E+08,  3.294588436558286E+08,  1.253021637677094E+08,
2308538.500000000, A.D. 1608-Jun-18 00:00:00.0000,  6.172615355236663E+08,  3.853214114728166E+08,  1.501391074292496E+08,
2308598.500000000, A.D. 1608-Aug-17 00:00:00.0000,  5.762620448755653E+08,  4.378434611189277E+08,  1.736745197492682E+08,
2308658.500000000, A.D. 1608-Oct-16 00:00:00.0000,  5.302890328380746E+08,  4.865881400912295E+08,  1.957116345099083E+08,
2308718.500000000, A.D. 1608-Dec-15 00:00:00.0000,  4.797668977258816E+08,  5.311616185808762E+08,  2.160711097845756E+08,
2308778.500000000, A.D. 1609-Feb-13 00:00:00.0000,  4.251589733356035E+08,  5.712144763772303E+08,  2.345916964448898E+08,
2308838.500000000, A.D. 1609-Apr-14 00:00:00.0000,  3.669597914426681E+08,  6.064449997476230E+08,  2.511318337334945E+08,
2308898.500000000, A.D. 1609-Jun-13 00:00:00.0000,  3.056881815862928E+08,  6.366028016654038E+08,  2.655714075866783E+08,
2308958.500000000, A.D. 1609-Aug-12 00:00:00.0000,  2.418823880656216E+08,  6.614865771330522E+08,  2.778108433656969E+08,
2309018.500000000, A.D. 1609-Oct-11 00:00:00.0000,  1.760914563469765E+08,  6.809480636346201E+08,  2.877730895854882E+08,
2309078.500000000, A.D. 1609-Dec-10 00:00:00.0000,  1.088708869785631E+08,  6.948890226001636E+08,  2.954023805732309E+08,
2309138.500000000, A.D. 1610-Feb-08 00:00:00.0000,  4.077585620027656E+07,  7.032603887670373E+08,  3.006640303828014E+08,
2309198.500000000, A.D. 1610-Apr-09 00:00:00.0000, -2.764419234034560E+07,  7.060627662702578E+08,  3.035448548502702E+08,
2309258.500000000, A.D. 1610-Jun-08 00:00:00.0000, -9.584972367503417E+07,  7.033404093221692E+08,  3.040505649292676E+08,
2309318.500000000, A.D. 1610-Aug-07 00:00:00.0000, -1.633164931929390E+08,  6.951826493156903E+08,  3.022066406163570E+08,
2309378.500000000, A.D. 1610-Oct-06 00:00:00.0000, -2.295384121204669E+08,  6.817186264998025E+08,  2.980560668695174E+08,
