,time,JD_time,L4_distance,L5_distnace
0,0,2378496.500000000,838875831.2375004,789676580.8048228
1,1,2378556.500000000,840934885.2852135,791486171.1298121
2,2,2378616.500000000,843222395.8493341,793115466.4781846
3,3,2378676.500000000,845717443.8891226,794557593.7312788
4,4,2378736.500000000,848397654.3814986,795804828.1664283
5,5,2378796.500000000,851240097.3494431,796852064.9894607
6,6,2378856.500000000,854221675.8996111,797694739.585517
7,7,2378916.500000000,857317787.5867248,798328992.7964638
8,8,2378976.500000000,860505496.4461924,798752666.8685243
9,9,2379036.500000000,863760125.2349036,798963773.4851542
10,10,2379096.500000000,867058215.8592316,798961790.7155471
11,11,2379156.500000000,870376966.0911797,798746519.7160479
12,12,2379216.500000000,873692350.3643494,798319277.9529743
13,13,2379276.500000000,876983279.3466648,797681387.5491452
14,14,2379336.500000000,880227041.1072042,796835800.5591446
15,15,2379396.500000000,883402724.9779339,795786167.2322607
16,16,2379456.500000000,886490385.4868844,794536370.1984015
17,17,2379516.500000000,889469360.6047354,793092949.8484274
18,18,2379576.500000000,892321692.7830732,791461409.9076815
19,19,2379636.500000000,895028624.7327918,789650109.0438942
20,20,2379696.500000000,897573128.0055335,787667982.7911193
21,21,2379756.500000000,899939067.6959317,785524301.3839005
22,22,2379816.500000000,902110857.8847771,783231642.3912321
23,23,2379876.500000000,904074548.2807771,780801424.425539
24,24,2379936.500000000,905816825.4322474,778248171.6806201
25,25,2379996.500000000,907326064.0954887,775587076.653616
26,26,2380056.500000000,908591211.8079408,772833862.3518078
27,27,2380116.500000000,909603481.9927452,770007013.9603096
28,28,2380176.500000000,910354462.6534262,767124515.856324
29,29,2380236.500000000,910837754.8354135,764206649.4443431
30,30,2380296.500000000,911048779.8516661,761274203.8760747
31,31,2380356.500000000,910983131.8743137,758348865.5994629
32,32,2380416.500000000,910640132.2626026,755453318.1744254
33,33,2380476.500000000,910018742.4760112,752610620.4836359
34,34,2380536.500000000,909120791.7876459,749844537.1599936
35,35,2380596.500000000,907950227.1473562,747178449.897952
36,36,2380656.500000000,906511145.5969336,744636716.5055406
37,37,2380716.500000000,904811894.5281725,742242038.0486829
38,38,2380776.500000000,902860600.1415578,740017698.0117997
39,39,2380836.500000000,900668405.6459016,737985674.3623235
40,40,2380896.500000000,898248592.864769,736165938.3450716
41,41,2380956.500000000,895615176.102404,734578810.3367237
42,42,2381016.500000000,892785631.9786484,733240393.8053972
43,43,2381076.500000000,889778017.2090672,732166504.5453136
44,44,2381136.500000000,886612909.2204766,731369837.0315386
45,45,2381196.500000000,883312339.5630049,730859506.8648487
46,46,2381256.500000000,879899962.8759286,730643623.7937917
47,47,2381316.500000000,876400832.1062686,730724936.3652754
48,48,2381376.500000000,872841210.5957303,731104598.7919136
49,49,2381436.500000000,869248827.5074065,731779844.7568724
50,50,2381496.500000000,865651256.4667267,732744168.3401506
51,51,2381556.500000000,862078168.1377442,733988768.0131115
52,52,2381616.500000000,858557974.1181102,735500684.8733263
53,53,2381676.500000000,855120014.9665006,737264758.3150475
54,54,2381736.500000000,851793582.1690341,739262590.0430912
55,55,2381796.500000000,848605738.8068713,741473923.7970887
56,56,2381856.500000000,845584916.0216451,743875799.9456675
57,57,2381916.500000000,842755971.6706519,746444219.546378
58,58,2381976.500000000,840143348.7862363,749153740.7410561
59,59,2382036.500000000,837769752.6657615,751977411.1549052
60,60,2382096.500000000,835654178.4849911,754889379.4283985
61,61,2382156.500000000,833815155.884362,757861662.4621928
62,62,2382216.500000000,832266749.5390623,760868329.5223795
63,63,2382276.500000000,831021100.6294017,763883353.9109068
64,64,2382336.500000000,830087264.6896937,766880830.979471
65,65,2382396.500000000,829470757.6580771,769837966.3407341
66,66,2382456.500000000,829174608.0453787,772730850.6861603
67,67,2382516.500000000,829198261.8869805,775538928.2703245
68,68,2382576.500000000,829538673.233067,778242462.6740848
69,69,2382636.500000000,830189233.3069799,780822743.9805514
70,70,2382696.500000000,831141616.044782,783264075.3291326
71,71,2382756.500000000,832383860.7810606,785550792.8116207
72,72,2382816.500000000,833902387.6911919,787669961.6831007
73,73,2382876.500000000,835681745.5488557,789609578.0917164
74,74,2382936.500000000,837703284.2553707,791359235.9462893
75,75,2382996.500000000,839948906.0312539,792909909.2701645
76,76,2383056.500000000,842396995.4312932,794253876.837132
77,77,2383116.500000000,845026123.9908161,795384800.3743371
78,78,2383176.500000000,847814137.4283613,796296989.6960104
79,79,2383236.500000000,850736695.451999,796987018.5433
80,80,2383296.500000000,853771308.4041843,797451034.9765506
81,81,2383356.500000000,856893129.2897271,797687671.1764607
82,82,2383416.500000000,860078437.0201153,797696026.1725191
83,83,2383476.500000000,863303646.2228335,797475578.3017026
84,84,2383536.500000000,866544460.8005484,797028700.2878652
85,85,2383596.500000000,869778304.2854793,796356403.4184554
86,86,2383656.500000000,872981963.8321979,795462753.47512
87,87,2383716.500000000,876133537.8161473,794352068.3421749
88,88,2383776.500000000,879211451.7511364,793029069.1304562
89,89,2383836.500000000,882195149.8580911,791501409.5918038
90,90,2383896.500000000,885064661.7705817,789775696.4598883
91,91,2383956.500000000,887801057.4325054,787861369.315424
92,92,2384016.500000000,890386685.0469289,785768358.0479656
93,93,2384076.500000000,892803942.6744678,783507449.2392285
94,94,2384136.500000000,895037872.5631711,781091533.6630869
95,95,2384196.500000000,897072962.4140875,778533698.5300076
96,96,2384256.500000000,898895919.0225422,775848995.8997446
97,97,2384316.500000000,900494794.2987268,773053138.0005699
98,98,2384376.500000000,901857405.9335347,770163500.9867456
99,99,2384436.500000000,902975192.833019,767198043.0340004
100,100,2384496.500000000,903838641.8569252,764176369.628849
101,101,2384556.500000000,904440960.8615097,761118951.3467205
102,102,2384616.500000000,904776917.4633754,758046635.604928
103,103,2384676.500000000,904841324.080194,754982521.3451663
104,104,2384736.500000000,904632607.9266189,751948495.6868497
105,105,2384796.500000000,904148890.5996038,748968710.0856078
106,106,2384856.500000000,903390961.1705533,746066966.483808
107,107,2384916.500000000,902361212.5737596,743266547.7665303
108,108,2384976.500000000,901063113.3012383,740592624.3036307
109,109,2385036.500000000,899502764.012878,738067597.5258309
110,110,2385096.500000000,897687323.6526791,735715276.6815108
111,111,2385156.500000000,895626357.2624731,733557780.1502079
112,112,2385216.500000000,893330754.7240889,731615419.6335311
113,113,2385276.500000000,890813981.0916933,729908563.8799019
114,114,2385336.500000000,888090619.5400829,728453899.3307995
115,115,2385396.500000000,885177627.1554699,727267345.6649684
116,116,2385456.500000000,882094031.0179329,726361733.298487
117,117,2385516.500000000,878859463.0901543,725747144.0206565
118,118,2385576.500000000,875497215.7156997,725431025.9098915
119,119,2385636.500000000,872030182.6848589,725417312.4481548
120,120,2385696.500000000,868484001.7426082,725706970.7167585
121,121,2385756.500000000,864885744.2317187,726297055.2868195
122,122,2385816.500000000,861262086.3700888,727182144.891389
123,123,2385876.500000000,857642946.673536,728352192.9228846
124,124,2385936.500000000,854056634.5874814,729795144.1179231
125,125,2385996.500000000,850533110.21405,731495354.5257385
126,126,2386056.500000000,847102398.2816072,733433787.6849242
127,127,2386116.500000000,843793118.1816326,735590655.3281252
128,128,2386176.500000000,840634829.7978338,737941677.5578644
129,129,2386236.500000000,837654705.7670736,740462833.5184622
130,130,2386296.500000000,834879378.2758145,743127841.4422419
131,131,2386356.500000000,832333422.157631,745908882.8141518
132,132,2386416.500000000,830039404.7364503,748779417.3829467
133,133,2386476.500000000,828017413.9937029,751710592.8340356
134,134,2386536.500000000,826284832.9309229,754675628.710075
135,135,2386596.500000000,824856407.0141097,757647637.7700816
136,136,2386656.500000000,823742833.0902696,760600487.4594918
137,137,2386716.500000000,822953033.2598714,763510163.1985565
138,138,2386776.500000000,822490956.8161099,766353178.6001179
139,139,2386836.500000000,822358358.8718263,769108433.7725344
140,140,2386896.500000000,822553792.2598444,771756008.4365457
141,141,2386956.500000000,823071298.6979429,774278323.9431639
142,142,2387016.500000000,823904268.0097301,776658874.9779586
143,143,2387076.500000000,825040991.8567667,778883600.949518
144,144,2387136.500000000,826468681.455906,780939794.5750282
145,145,2387196.500000000,828172219.1759696,782815855.2321879
146,146,2387256.500000000,830133171.6094782,784503118.5006241
147,147,2387316.500000000,832333284.1616937,785992307.378158
148,148,2387376.500000000,834750961.7829664,787277360.5473856
149,149,2387436.500000000,837364442.6479751,788352558.9880725
150,150,2387496.500000000,840150758.0491403,789212825.8515491
151,151,2387556.500000000,843085771.3526583,789856038.501278
152,152,2387616.500000000,846145445.7550092,790278689.4107473
153,153,2387676.500000000,849304885.2152044,790480321.5595746
154,154,2387736.500000000,852539567.0042483,790460502.8166753
155,155,2387796.500000000,855824404.3623908,790219317.1788572
156,156,2387856.500000000,859135415.8896801,789759159.2248714
157,157,2387916.500000000,862447938.5635203,789081651.1355501
158,158,2387976.500000000,865738519.1205184,788190674.2327508
159,159,2388036.500000000,868984370.2987539,787090374.0561066
160,160,2388096.500000000,872162249.7699757,785785946.3945768
161,161,2388156.500000000,875251694.9995667,784283748.9167464
162,162,2388216.500000000,878230949.9465233,782590928.5947964
163,163,2388276.500000000,881080606.2090474,780715912.6391671
164,164,2388336.500000000,883782182.8886075,778667715.8265152
165,165,2388396.500000000,886316838.4205989,776457370.9512626
166,166,2388456.500000000,888669108.716817,774095750.585779
167,167,2388516.500000000,890822391.7666762,771596154.139663
168,168,2388576.500000000,892762656.6398853,768972425.0593259
169,169,2388636.500000000,894477009.8754623,766239097.7206632
170,170,2388696.500000000,895952807.5642071,763413520.0908113
171,171,2388756.500000000,897180287.3698813,760511891.1916343
172,172,2388816.500000000,898149643.3826715,757553576.4865315
173,173,2388876.500000000,898853367.5734355,754558010.6164765
174,174,2388936.500000000,899285109.9610517,751545077.587829
175,175,2388996.500000000,899440045.5949922,748537319.4353007
176,176,2389056.500000000,899315005.6846675,745555714.9057238
177,177,2389116.500000000,898908358.6824461,742623733.3140827
178,178,2389176.500000000,898220492.7446566,739764391.244215
179,179,2389236.500000000,897252758.7850288,737000616.2963212
180,180,2389296.500000000,896009594.2795011,734356368.6365659
181,181,2389356.500000000,894495824.0186855,731854077.793305
182,182,2389416.500000000,892719188.5208354,729516593.512648
183,183,2389476.500000000,890689366.10932,727365317.414098
184,184,2389536.500000000,888416716.7014532,725420857.9083867
185,185,2389596.500000000,885915776.2686442,723701985.2782588
186,186,2389656.500000000,883200745.3247316,722226029.017192
187,187,2389716.500000000,880289273.8767343,721008074.385081
188,188,2389776.500000000,877200863.2947773,720060333.8629134
189,189,2389836.500000000,873955532.3697646,719393582.2989407
190,190,2389896.500000000,870577199.1194661,719013900.3016802
191,191,2389956.500000000,867089373.7808211,718926012.2497499
192,192,2390016.500000000,863518319.669718,719130553.3889295
193,193,2390076.500000000,859891456.3023181,719624398.791889
194,194,2390136.500000000,856236665.6178938,720402921.8854122
195,195,2390196.500000000,852583706.6219234,721455833.2228279
196,196,2390256.500000000,848962058.4330122,722771882.9924166
197,197,2390316.500000000,845402129.3268884,724335909.8335757
198,198,2390376.500000000,841933768.5519847,726129743.2667801
199,199,2390436.500000000,838587061.6963012,728134375.9216752
