            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2305478.500000000, A.D. 1600-Feb-01 00:00:00.0000, -1.754723936461499E+08,  1.557365620172170E+08,  7.631784660675025E+07,
2305538.500000000, A.D. 1600-Apr-01 00:00:00.0000, -2.352093961684656E+08,  6.809583761677915E+07,  3.780510392342459E+07,
2305598.500000000, A.D. 1600-May-31 00:00:00.0000, -2.410658090059086E+08, -3.507218554601873E+07, -9.334194986490138E+06,
2305658.500000000, A.D. 1600-Jul-30 00:00:00.0000, -1.890436995828924E+08, -1.295838195899054E+08, -5.412384278984682E+07,
2305718.500000000, A.D. 1600-Sep-28 00:00:00.0000, -8.697144966520523E+07, -1.892714622200565E+08, -8.434721406170197E+07,
2305778.500000000, A.D. 1600-Nov-27 00:00:00.0000,  4.110313950788254E+07, -1.908989279590737E+08, -8.867801305874254E+07,
2305838.500000000, A.D. 1601-Jan-26 00:00:00.0000,  1.541993004960943E+08, -1.257222547150037E+08, -6.196082958253338E+07,
2305898.500000000, A.D. 1601-Mar-27 00:00:00.0000,  2.083897644763099E+08, -1.265433789831261E+07, -1.163822649349137E+07,
2305958.500000000, A.D. 1601-May-26 00:00:00.0000,  1.836858314498892E+08,  1.056999053511778E+08,  4.331503647713312E+07,
2306018.500000000, A.D. 1601-Jul-25 00:00:00.0000,  9.531477995647044E+07,  1.882923828165360E+08,  8.365287190587637E+07,
2306078.500000000, A.D. 1601-Sep-23 00:00:00.0000, -2.216263601719289E+07,  2.147946144121814E+08,  9.908810872576064E+07,
2306138.500000000, A.D. 1601-Nov-22 00:00:00.0000, -1.341891630080918E+08,  1.851239676232226E+08,  8.861619331104711E+07,
2306198.500000000, A.D. 1602-Jan-21 00:00:00.0000, -2.144046106315743E+08,  1.114528296868736E+08,  5.708068303918683E+07,
2306258.500000000, A.D. 1602-Mar-22 00:00:00.0000, -2.456022550791619E+08,  1.246110838287875E+07,  1.256480614437157E+07,
2306318.500000000, A.D. 1602-May-21 00:00:00.0000, -2.194684609153342E+08, -8.912003330057541E+07, -3.474194757100840E+07,
2306378.500000000, A.D. 1602-Jul-20 00:00:00.0000, -1.380372189012346E+08, -1.676990415916386E+08, -7.304915266958702E+07,
2306438.500000000, A.D. 1602-Sep-18 00:00:00.0000, -1.754995544051097E+07, -1.977286475276908E+08, -9.018934922425833E+07,
2306498.500000000, A.D. 1602-Nov-17 00:00:00.0000,  1.080278179095755E+08, -1.621228716291732E+08, -7.737875739202850E+07,
2306558.500000000, A.D. 1603-Jan-16 00:00:00.0000,  1.931443204953683E+08, -6.634228246425416E+07, -3.584685548347638E+07,
2306618.500000000, A.D. 1603-Mar-17 00:00:00.0000,  2.039595281158654E+08,  5.543807124622598E+07,  1.968405080812531E+07,
2306678.500000000, A.D. 1603-May-16 00:00:00.0000,  1.405124616706578E+08,  1.580250810142274E+08,  6.849236182665280E+07,
2306738.500000000, A.D. 1603-Jul-15 00:00:00.0000,  3.147173797528846E+07,  2.107806875697635E+08,  9.572899402616952E+07,
2306798.500000000, A.D. 1603-Sep-13 00:00:00.0000, -8.689107876556045E+07,  2.053940203366977E+08,  9.656895617630026E+07,
2306858.500000000, A.D. 1603-Nov-12 00:00:00.0000, -1.841374876441310E+08,  1.494625541261670E+08,  7.364421909808494E+07,
2306918.500000000, A.D. 1604-Jan-11 00:00:00.0000, -2.389954569513538E+08,  5.921393319512847E+07,  3.379999077359260E+07,
2306978.500000000, A.D. 1604-Mar-11 00:00:00.0000, -2.391124160645021E+08, -4.427078342318673E+07, -1.364379365836811E+07,
2307038.500000000, A.D. 1604-May-10 00:00:00.0000, -1.815269189609677E+08, -1.365095593212041E+08, -5.754520703342018E+07,
2307098.500000000, A.D. 1604-Jul-09 00:00:00.0000, -7.550491881392565E+07, -1.913112763698108E+08, -8.563665837061596E+07,
2307158.500000000, A.D. 1604-Sep-07 00:00:00.0000,  5.306291120942083E+07, -1.862635189236139E+08, -8.691810612249111E+07,
2307218.500000000, A.D. 1604-Nov-06 00:00:00.0000,  1.619304330643472E+08, -1.149452800326275E+08, -5.726412131762688E+07,
2307278.500000000, A.D. 1605-Jan-05 00:00:00.0000,  2.083759853785248E+08,  6.976419489978343E+05, -5.541921115940619E+06,
2307338.500000000, A.D. 1605-Mar-06 00:00:00.0000,  1.759987416957678E+08,  1.169375335902582E+08,  4.865845064041599E+07,
2307398.500000000, A.D. 1605-May-05 00:00:00.0000,  8.296265093894805E+07,  1.943193296466748E+08,  8.673933637493862E+07,
2307458.500000000, A.D. 1605-Jul-04 00:00:00.0000, -3.548016726500778E+07,  2.148192715055274E+08,  9.945122504681197E+07,
2307518.500000000, A.D. 1605-Sep-02 00:00:00.0000, -1.454065133323025E+08,  1.799357201578569E+08,  8.653244194547750E+07,
2307578.500000000, A.D. 1605-Nov-01 00:00:00.0000, -2.213779243790201E+08,  1.026879213060719E+08,  5.324078843952638E+07,
2307638.500000000, A.D. 1605-Dec-31 00:00:00.0000, -2.470712291534202E+08,  2.241512690145978E+06,  7.907026395902480E+06,
2307698.500000000, A.D. 1606-Mar-01 00:00:00.0000, -2.151070091612203E+08, -9.832118205824907E+07, -3.909221430734573E+07,
2307758.500000000, A.D. 1606-Apr-30 00:00:00.0000, -1.287434569937636E+08, -1.732196557453057E+08, -7.584574984757912E+07,
2307818.500000000, A.D. 1606-Jun-29 00:00:00.0000, -5.909080734694774E+06, -1.972547468779199E+08, -9.029866172832850E+07,
2307878.500000000, A.D. 1606-Aug-28 00:00:00.0000,  1.177097616469369E+08, -1.549334926330946E+08, -7.434961914382710E+07,
2307938.500000000, A.D. 1606-Oct-27 00:00:00.0000,  1.964295028596046E+08, -5.466404531654283E+07, -3.057627394831367E+07,
2307998.500000000, A.D. 1606-Dec-26 00:00:00.0000,  1.991501047270106E+08,  6.705570238993844E+07,  2.515701912227517E+07,
2308058.500000000, A.D. 1607-Feb-24 00:00:00.0000,  1.295502891030409E+08,  1.655086021794904E+08,  7.224494109258586E+07,
2308118.500000000, A.D. 1607-Apr-25 00:00:00.0000,  1.802268917508872E+07,  2.123337748559332E+08,  9.683441693427554E+07,
2308178.500000000, A.D. 1607-Jun-24 00:00:00.0000, -9.936999646241584E+07,  2.012224929930428E+08,  9.502456760687220E+07,
2308238.500000000, A.D. 1607-Aug-23 00:00:00.0000, -1.930874426295635E+08,  1.409115486036110E+08,  6.999514973927800E+07,
2308298.500000000, A.D. 1607-Oct-22 00:00:00.0000, -2.427785588159549E+08,  4.822271350820129E+07,  2.888975779910778E+07,
2308358.500000000, A.D. 1607-Dec-21 00:00:00.0000, -2.369757013698273E+08, -5.537617500925303E+07, -1.876943671830069E+07,
2308418.500000000, A.D. 1608-Feb-19 00:00:00.0000, -1.737738376096698E+08, -1.451186481071136E+08, -6.168049398904431E+07,
2308478.500000000, A.D. 1608-Apr-19 00:00:00.0000, -6.391958182951191E+07, -1.948425723762434E+08, -8.754782991497801E+07,
2308538.500000000, A.D. 1608-Jun-18 00:00:00.0000,  6.486534488571464E+07, -1.830872703343322E+08, -8.575682386633070E+07,
2308598.500000000, A.D. 1608-Aug-17 00:00:00.0000,  1.692553355869674E+08, -1.058732510914882E+08, -5.327144986157773E+07,
2308658.500000000, A.D. 1608-Oct-16 00:00:00.0000,  2.080098284934425E+08,  1.192326476020788E+07, -3.441210495320380E+05,
2308718.500000000, A.D. 1608-Dec-15 00:00:00.0000,  1.683504133160994E+08,  1.257268607420326E+08,  5.294465601388416E+07,
2308778.500000000, A.D. 1609-Feb-13 00:00:00.0000,  7.118176111053325E+07,  1.978073866259047E+08,  8.871129018873006E+07,
2308838.500000000, A.D. 1609-Apr-14 00:00:00.0000, -4.770629398598105E+07,  2.124099064313361E+08,  9.873166590230879E+07,
2308898.500000000, A.D. 1609-Jun-13 00:00:00.0000, -1.550866122597986E+08,  1.725515612131401E+08,  8.346029511167541E+07,
2308958.500000000, A.D. 1609-Aug-12 00:00:00.0000, -2.264693049506385E+08,  9.205128657446016E+07,  4.854850478259332E+07,
2309018.500000000, A.D. 1609-Oct-11 00:00:00.0000, -2.464300810534757E+08, -9.476582778187633E+06,  2.558175886944472E+06,
2309078.500000000, A.D. 1609-Dec-10 00:00:00.0000, -2.085370871424570E+08, -1.086280526229642E+08, -4.395993256116427E+07,
2309138.500000000, A.D. 1610-Feb-08 00:00:00.0000, -1.173001329191222E+08, -1.794665565188761E+08, -7.898805696773039E+07,
2309198.500000000, A.D. 1610-Apr-09 00:00:00.0000,  7.630799360320454E+06, -1.972217680072645E+08, -9.061995653234820E+07,
2309258.500000000, A.D. 1610-Jun-08 00:00:00.0000,  1.289101607272439E+08, -1.481458607927994E+08, -7.150848348428503E+07,
2309318.500000000, A.D. 1610-Aug-07 00:00:00.0000,  2.009993352027431E+08, -4.365406550675128E+07, -2.561449590429077E+07,
2309378.500000000, A.D. 1610-Oct-06 00:00:00.0000,  1.957749703699032E+08,  7.768119690567327E+07,  3.016305752259968E+07,
2309438.500000000, A.D. 1610-Dec-05 00:00:00.0000,  1.204185628976163E+08,  1.719053358180625E+08,  7.547063940003642E+07,
2309498.500000000, A.D. 1611-Feb-03 00:00:00.0000,  6.791027732029762E+06,  2.129510998594534E+08,  9.746589823269469E+07,
2309558.500000000, A.D. 1611-Apr-04 00:00:00.0000, -1.093536228978278E+08,  1.964042409201718E+08,  9.312547962780720E+07,
2309618.500000000, A.D. 1611-Jun-03 00:00:00.0000, -1.993692817106507E+08,  1.320743139747894E+08,  6.614627259559216E+07,
2309678.500000000, A.D. 1611-Aug-02 00:00:00.0000, -2.438186050629471E+08,  3.735835760884804E+07,  2.396149319784396E+07,
2309738.500000000, A.D. 1611-Oct-01 00:00:00.0000, -2.321385846793997E+08, -6.590251106951398E+07, -2.370993455344087E+07,
2309798.500000000, A.D. 1611-Nov-30 00:00:00.0000, -1.635155092039430E+08, -1.526943524094893E+08, -6.542188016851393E+07,
2309858.500000000, A.D. 1612-Jan-29 00:00:00.0000, -5.020240516368737E+07, -1.969593901799406E+08, -8.888447518973365E+07,
2309918.500000000, A.D. 1612-Mar-29 00:00:00.0000,  7.827675052953213E+07, -1.783059771005911E+08, -8.392312802766484E+07,
2309978.500000000, A.D. 1612-May-28 00:00:00.0000,  1.776816678395824E+08, -9.529982450910060E+07, -4.864387706235229E+07,
2310038.500000000, A.D. 1612-Jul-27 00:00:00.0000,  2.085100765258287E+08,  2.432995388854603E+07,  5.343512617157638E+06,
2310098.500000000, A.D. 1612-Sep-25 00:00:00.0000,  1.616686686109705E+08,  1.354248633313871E+08,  5.758817636761600E+07,
2310158.500000000, A.D. 1612-Nov-24 00:00:00.0000,  6.060933055647066E+07,  2.021404675504794E+08,  9.100020309827697E+07,
2310218.500000000, A.D. 1613-Jan-23 00:00:00.0000, -5.852860715786637E+07,  2.109570803592762E+08,  9.837090217624776E+07,
2310278.500000000, A.D. 1613-Mar-24 00:00:00.0000, -1.632735343177486E+08,  1.663224923675941E+08,  8.083213088892980E+07,
2310338.500000000, A.D. 1613-May-23 00:00:00.0000, -2.300714993311117E+08,  8.280638032124451E+07,  4.440584064408287E+07,
2310398.500000000, A.D. 1613-Jul-22 00:00:00.0000, -2.443873501415859E+08, -1.953233339987742E+07, -2.117190518994346E+06,
2310458.500000000, A.D. 1613-Sep-20 00:00:00.0000, -2.007686816010198E+08, -1.169628097438842E+08, -4.800879339129125E+07,
2310518.500000000, A.D. 1613-Nov-19 00:00:00.0000, -1.050462597393104E+08, -1.834324415263689E+08, -8.116096636711647E+07,
2310578.500000000, A.D. 1614-Jan-18 00:00:00.0000,  2.137207029225423E+07, -1.947311802635970E+08, -8.987524415980248E+07,
2310638.500000000, A.D. 1614-Mar-19 00:00:00.0000,  1.396158430321052E+08, -1.390313974209613E+08, -6.764247841129966E+07,
2310698.500000000, A.D. 1614-May-18 00:00:00.0000,  2.046055663875515E+08, -3.075332769458631E+07, -1.981457298443456E+07,
2310758.500000000, A.D. 1614-Jul-17 00:00:00.0000,  1.913602018679490E+08,  8.972841092661636E+07,  3.579494059697434E+07,
2310818.500000000, A.D. 1614-Sep-15 00:00:00.0000,  1.104058480425202E+08,  1.794446497368582E+08,  7.919071334450972E+07,
2310878.500000000, A.D. 1614-Nov-14 00:00:00.0000, -5.130600799103076E+06,  2.146213527514016E+08,  9.854674428478581E+07,
2310938.500000000, A.D. 1615-Jan-13 00:00:00.0000, -1.198864655991085E+08,  1.926612830030505E+08,  9.168404026834083E+07,
2310998.500000000, A.D. 1615-Mar-14 00:00:00.0000, -2.061244047504903E+08,  1.243892597849129E+08,  6.279063169115279E+07,
2311058.500000000, A.D. 1615-May-13 00:00:00.0000, -2.453184428426215E+08,  2.775114925334103E+07,  1.957699786910562E+07,
2311118.500000000, A.D. 1615-Jul-12 00:00:00.0000, -2.278152297004851E+08, -7.503973752527589E+07, -2.804182799005302E+07,
2311178.500000000, A.D. 1615-Sep-10 00:00:00.0000, -1.539329266946113E+08, -1.587184721282855E+08, -6.847301620867552E+07,
2311238.500000000, A.D. 1615-Nov-09 00:00:00.0000, -3.751569030613146E+07, -1.973811445273791E+08, -8.945284695208247E+07,
