            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -3.313915326188036E+07,  1.305496082236324E+08,  5.665876719303712E+07,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -1.420441581657636E+08,  3.668930675029708E+07,  1.590756201424072E+07,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -1.094092007729857E+08, -9.537601110008392E+07, -4.142197452620560E+07,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  2.890076833012413E+07, -1.378591389850166E+08, -5.985968135965918E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  1.409458006123678E+08, -5.227383655380163E+07, -2.270500255261918E+07,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  1.192666821175109E+08,  8.157528498087160E+07,  3.539435855443729E+07,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -1.918435381623203E+07,  1.330132077801969E+08,  5.771459546349728E+07,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -1.370792547971368E+08,  4.867465397003843E+07,  2.109687687021934E+07,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -1.175846729424491E+08, -8.569107141032100E+07, -3.723079035281363E+07,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  1.610690188732916E+07, -1.393323199050575E+08, -6.051183937897955E+07,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  1.359360566291017E+08, -6.326285241729802E+07, -2.748808197220556E+07,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000,  1.274896901953406E+08,  7.169175721719617E+07,  3.109149651878851E+07,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -5.178261771285241E+06,  1.344979744744413E+08,  5.834773755253603E+07,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -1.310855205110912E+08,  6.040436216502821E+07,  2.617833150597008E+07,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -1.249521068905263E+08, -7.518018579262206E+07, -3.267806474127580E+07,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000,  3.051583693124940E+06, -1.395962638376703E+08, -6.063668567963740E+07,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000,  1.297072359080537E+08, -7.363834472131889E+07, -3.200181672345684E+07,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000,  1.345052608535178E+08,  6.131273499220203E+07,  2.657784674514421E+07,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000,  8.714682749074204E+06,  1.349218528046456E+08,  5.852508080094685E+07,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -1.241568064743868E+08,  7.170219683095261E+07,  3.107660160136692E+07,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000, -1.314833864471639E+08, -6.401025216609459E+07, -2.783530467257060E+07,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000, -1.018531833887306E+07, -1.387239329732270E+08, -6.026363242012029E+07,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000,  1.222852205277992E+08, -8.338252881734905E+07, -3.623592002723638E+07,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000,  1.402217790001894E+08,  5.045864796303898E+07,  2.186341657259800E+07,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  2.234056490368164E+07,  1.341992643696969E+08,  5.820945133267324E+07,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000, -1.163714880922717E+08,  8.238640230758810E+07,  3.571269124825260E+07,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -1.371473724127993E+08, -5.233882512568137E+07, -2.277026158409812E+07,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -2.354030046703890E+07, -1.367980967450792E+08, -5.942754726879193E+07,
