            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -3.890766249109606E+06,  7.048025625829036E+08,  3.023315074957241E+08,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -7.228198130597948E+07,  7.039737001449844E+08,  3.036481134288049E+08,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -1.401084951279603E+08,  6.976634804456009E+08,  3.026003511612474E+08,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -2.068566287415219E+08,  6.859896156944904E+08,  2.992261571969534E+08,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -2.720324484113069E+08,  6.691067866691387E+08,  2.935797716779742E+08,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -3.351671822860330E+08,  6.472064760166450E+08,  2.857318545947798E+08,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -3.958181945266812E+08,  6.205126094282743E+08,  2.757676211639070E+08,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -4.535712038892165E+08,  5.892770983503950E+08,  2.637849463036271E+08,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -5.080427154378318E+08,  5.537799416174182E+08,  2.498945636978346E+08,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -5.588797774798636E+08,  5.143221417445953E+08,  2.342168980782944E+08,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000, -6.057621985251657E+08,  4.712258768192453E+08,  2.168822952941812E+08,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.484021062847909E+08,  4.248307432791083E+08,  1.980293693719830E+08,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -6.865447241183068E+08,  3.754894025562520E+08,  1.778030878432130E+08,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000, -7.199683771868387E+08,  3.235687348382977E+08,  1.563554145300149E+08,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000, -7.484842270462042E+08,  2.694433213511267E+08,  1.338423309336298E+08,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -7.719365083903472E+08,  2.134962242736346E+08,  1.104243071494588E+08,
