            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -3.104484324352735E+07,  3.121420655538708E+07,  2.002351222043239E+07,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  5.280994222785655E+07, -2.035287845800015E+07, -1.624445326715980E+07,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -2.513000784719660E+07, -5.887019757199978E+07, -2.867443806715301E+07,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -4.500569987431503E+07,  1.969920797742949E+07,  1.534367089823426E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  5.453290036688215E+07, -5.072164639256895E+06, -8.257569571128745E+06,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000, -1.195261639985199E+07, -6.175028970029102E+07, -3.157890288184899E+07,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000, -5.389281775440826E+07,  5.896572356313477E+06,  8.907201054277670E+06,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  5.083608376803340E+07,  1.063847923479384E+07,  5.178387253752364E+05,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  1.814444652976582E+06, -6.165493927943603E+07, -3.296305053957235E+07,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000, -5.774449741712772E+07, -8.513406676460266E+06,  1.614667951737963E+06,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  4.107359967814147E+07,  2.496870668979514E+07,  9.181870197180260E+06,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000,  1.550525165806831E+07, -5.852966013981344E+07, -3.272836118903814E+07,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -5.706859467013884E+07, -2.230028879788927E+07, -5.823716192898962E+06,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000,  2.559677013515254E+07,  3.563381505171455E+07,  1.647907515092259E+07,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000,  2.840956600139000E+07, -5.238036924246667E+07, -3.080348507517981E+07,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -5.255275631044464E+07, -3.462170048555589E+07, -1.288649797388839E+07,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000,  6.214831989166526E+06,  4.056283871825498E+07,  2.111532962365943E+07,
