            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2360265.500000000, A.D. 1750-Feb-01 00:00:00.0000, -7.683686661874093E+08, -1.192736663910414E+09, -4.591562072000833E+08,
2360325.500000000, A.D. 1750-Apr-02 00:00:00.0000, -7.278646808126971E+08, -1.215526045206629E+09, -4.702863275110058E+08,
2360385.500000000, A.D. 1750-Jun-01 00:00:00.0000, -6.865803337841173E+08, -1.237011805450900E+09, -4.809118396389082E+08,
2360445.500000000, A.D. 1750-Jul-31 00:00:00.0000, -6.445622735337656E+08, -1.257174030753022E+09, -4.910228810192748E+08,
2360505.500000000, A.D. 1750-Sep-29 00:00:00.0000, -6.018566430015813E+08, -1.275994668375541E+09, -5.006101633480387E+08,
2360565.500000000, A.D. 1750-Nov-28 00:00:00.0000, -5.585103447294532E+08, -1.293457855649413E+09, -5.096648522892512E+08,
2360625.500000000, A.D. 1751-Jan-27 00:00:00.0000, -5.145715716828704E+08, -1.309548794251717E+09, -5.181785799848082E+08,
2360685.500000000, A.D. 1751-Mar-28 00:00:00.0000, -4.700886399770623E+08, -1.324252967769853E+09, -5.261435775778224E+08,
2360745.500000000, A.D. 1751-May-27 00:00:00.0000, -4.251090843259704E+08, -1.337557374299237E+09, -5.335526786918190E+08,
2360805.500000000, A.D. 1751-Jul-26 00:00:00.0000, -3.796808017855980E+08, -1.349451275511289E+09, -5.403991843505076E+08,
2360865.500000000, A.D. 1751-Sep-24 00:00:00.0000, -3.338528758617790E+08, -1.359925275264917E+09, -5.466768407567072E+08,
2360925.500000000, A.D. 1751-Nov-23 00:00:00.0000, -2.876747252285235E+08, -1.368970248574085E+09, -5.523799627603745E+08,
2360985.500000000, A.D. 1752-Jan-22 00:00:00.0000, -2.411948506181126E+08, -1.376578200507153E+09, -5.575034878010951E+08,
2361045.500000000, A.D. 1752-Mar-22 00:00:00.0000, -1.944617035206952E+08, -1.382743396086942E+09, -5.620428408126154E+08,
2361105.500000000, A.D. 1752-May-21 00:00:00.0000, -1.475247431475045E+08, -1.387461709391944E+09, -5.659938784937754E+08,
2361165.500000000, A.D. 1752-Jul-20 00:00:00.0000, -1.004339561230587E+08, -1.390729380236312E+09, -5.693529928565661E+08,
2361225.500000000, A.D. 1752-Sep-18 00:00:00.0000, -5.323841716725592E+07, -1.392543411977770E+09, -5.721172078868814E+08,
2361285.500000000, A.D. 1752-Nov-17 00:00:00.0000, -5.986743263996601E+06, -1.392902975153681E+09, -5.742840619444602E+08,
2361345.500000000, A.D. 1753-Jan-16 00:00:00.0000,  4.127168807595897E+07, -1.391809085591003E+09, -5.758515212156043E+08,
2361405.500000000, A.D. 1753-Mar-17 00:00:00.0000,  8.848683139025420E+07, -1.389263306442736E+09, -5.768180551580008E+08,
2361465.500000000, A.D. 1753-May-16 00:00:00.0000,  1.356094262162113E+08, -1.385267668459958E+09, -5.771827627356963E+08,
2361525.500000000, A.D. 1753-Jul-15 00:00:00.0000,  1.825910476683445E+08, -1.379826181047259E+09, -5.769452899868997E+08,
2361585.500000000, A.D. 1753-Sep-13 00:00:00.0000,  2.293828169365132E+08, -1.372944889526593E+09, -5.761057171028126E+08,
2361645.500000000, A.D. 1753-Nov-12 00:00:00.0000,  2.759351198474739E+08, -1.364630631171575E+09, -5.746646000045984E+08,
2361705.500000000, A.D. 1754-Jan-11 00:00:00.0000,  3.221989211383494E+08, -1.354890522656322E+09, -5.726231110127209E+08,
2361765.500000000, A.D. 1754-Mar-12 00:00:00.0000,  3.681263339986642E+08, -1.343733381998014E+09, -5.699830049688745E+08,
2361825.500000000, A.D. 1754-May-11 00:00:00.0000,  4.136693733037086E+08, -1.331170195244721E+09, -5.667464867514414E+08,
2361885.500000000, A.D. 1754-Jul-10 00:00:00.0000,  4.587793381267475E+08, -1.317213021405855E+09, -5.629162161714897E+08,
2361945.500000000, A.D. 1754-Sep-08 00:00:00.0000,  5.034078734700526E+08, -1.301874134635153E+09, -5.584954487494183E+08,
2362005.500000000, A.D. 1754-Nov-07 00:00:00.0000,  5.475079875103303E+08, -1.285167169843238E+09, -5.534880558514348E+08,
2362065.500000000, A.D. 1755-Jan-06 00:00:00.0000,  5.910329836986234E+08, -1.267107991527324E+09, -5.478983833693051E+08,
2362125.500000000, A.D. 1755-Mar-07 00:00:00.0000,  6.339355630128990E+08, -1.247713829253810E+09, -5.417312198067595E+08,
2362185.500000000, A.D. 1755-May-06 00:00:00.0000,  6.761685605145844E+08, -1.227002181363846E+09, -5.349919244801015E+08,
2362245.500000000, A.D. 1755-Jul-05 00:00:00.0000,  7.176862700097711E+08, -1.204991543629260E+09, -5.276864982134320E+08,
2362305.500000000, A.D. 1755-Sep-03 00:00:00.0000,  7.584436989468635E+08, -1.181702620237218E+09, -5.198214480447285E+08,
2362365.500000000, A.D. 1755-Nov-02 00:00:00.0000,  7.983954594030216E+08, -1.157157758406056E+09, -5.114037200408321E+08,
2362425.500000000, A.D. 1756-Jan-01 00:00:00.0000,  8.374961447972723E+08, -1.131379721816713E+09, -5.024408046791806E+08,
2362485.500000000, A.D. 1756-Mar-01 00:00:00.0000,  8.757017861529193E+08, -1.104391935780982E+09, -4.929408475141109E+08,
2362545.500000000, A.D. 1756-Apr-30 00:00:00.0000,  9.129695512029197E+08, -1.076219919595990E+09, -4.829125367488601E+08,
2362605.500000000, A.D. 1756-Jun-29 00:00:00.0000,  9.492565082846034E+08, -1.046891074102836E+09, -4.723650039506606E+08,
2362665.500000000, A.D. 1756-Aug-28 00:00:00.0000,  9.845196387457423E+08, -1.016433428531012E+09, -4.613078991861855E+08,
2362725.500000000, A.D. 1756-Oct-27 00:00:00.0000,  1.018717248582600E+09, -9.848754126175445E+08, -4.497515264208683E+08,
2362785.500000000, A.D. 1756-Dec-26 00:00:00.0000,  1.051809179546700E+09, -9.522473360857220E+08, -4.377067692895605E+08,
2362845.500000000, A.D. 1757-Feb-24 00:00:00.0000,  1.083755549986971E+09, -9.185815662508708E+08, -4.251849652556079E+08,
2362905.500000000, A.D. 1757-Apr-25 00:00:00.0000,  1.114516418554562E+09, -8.839113447887359E+08, -4.121979451970298E+08,
2362965.500000000, A.D. 1757-Jun-24 00:00:00.0000,  1.144053006881097E+09, -8.482701551079987E+08, -3.987581768322937E+08,
2363025.500000000, A.D. 1757-Aug-23 00:00:00.0000,  1.172328415675468E+09, -8.116930526250273E+08, -3.848787393838503E+08,
2363085.500000000, A.D. 1757-Oct-22 00:00:00.0000,  1.199306464183312E+09, -7.742172438305830E+08, -3.705731799485956E+08,
2363145.500000000, A.D. 1757-Dec-21 00:00:00.0000,  1.224951037591454E+09, -7.358810606034362E+08, -3.558555139438051E+08,
2363205.500000000, A.D. 1758-Feb-19 00:00:00.0000,  1.249227025233374E+09, -6.967230248663679E+08, -3.407403614669281E+08,
2363265.500000000, A.D. 1758-Apr-20 00:00:00.0000,  1.272101451750575E+09, -6.567828510067142E+08, -3.252429740180973E+08,
