            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -9.143099489342408E+07,  4.759072927042305E+07,  2.721433273968358E+07,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -4.419719637421852E+07, -9.195989465047365E+07, -3.846925853268639E+07,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  1.031777353003812E+08, -3.130962579713062E+07, -2.057188394154750E+07,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  2.591761217121776E+07,  9.544593503106660E+07,  4.127331427893090E+07,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000, -1.060243774409298E+08,  7.420592630794112E+06,  1.010328284601524E+07,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  6.802359943672009E+05, -9.989238034010643E+07, -4.487226480823049E+07,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  1.090292125113977E+08,  1.032958230417806E+07, -2.230756797277936E+06,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000, -1.989883188580096E+07,  9.514747258122469E+07,  4.405240814912289E+07,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000, -1.011026162794298E+08, -3.416801197431169E+07, -8.886150883023750E+06,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  4.556457473509353E+07, -9.012618749453355E+07, -4.332837571647283E+07,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  9.558757924987595E+07,  5.007278358620506E+07,  1.647933249065229E+07,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000, -6.191770797795101E+07,  7.736374420300472E+07,  3.873222027934411E+07,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000, -7.767043504047638E+07, -6.959073785918655E+07, -2.628396386523120E+07,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000,  8.252501440187085E+07, -6.444400264738525E+07, -3.413548005561403E+07,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000,  6.512884515430022E+07,  8.080176732175864E+07,  3.221594704471811E+07,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000, -9.241124999507824E+07,  4.533210458725836E+07,  2.627626629015787E+07,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000, -4.008894381677859E+07, -9.249491172230011E+07, -3.895974509426582E+07,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000,  1.050433585324083E+08, -2.738343943489005E+07, -1.891874412551763E+07,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000,  2.304108258596671E+07,  9.688973173875968E+07,  4.210935863198381E+07,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000, -1.057706688180544E+08,  4.972099610724002E+06,  8.987897321972635E+06,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000,  4.808107695027873E+06, -9.886804502099688E+07, -4.467728814633167E+07,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000,  1.091024704242796E+08,  1.452749350383171E+07, -3.551900469888868E+05,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000, -2.307158495877120E+07,  9.531718280555829E+07,  4.432113090955988E+07,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000, -9.961569274897394E+07, -3.628049972374475E+07, -9.942877959014801E+06,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  4.903890892358472E+07, -8.766102647367269E+07, -4.245801337711337E+07,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  9.388940361761458E+07,  5.388850768985458E+07,  1.828240564433995E+07,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000, -6.476944922549935E+07,  7.630812142538795E+07,  3.841678708814281E+07,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000, -7.519818888637228E+07, -7.089883677210906E+07, -2.705458527162006E+07,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  8.476405574890494E+07, -6.088773799946703E+07, -3.270861053511908E+07,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  6.198233488937046E+07,  8.362892997860087E+07,  3.365540705509409E+07,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000, -9.438762900506972E+07,  4.335440396848720E+07,  2.547954445234198E+07,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000, -3.707974045505348E+07, -9.267540551843432E+07, -3.926877435276336E+07,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  1.056507120479679E+08, -2.327053135668230E+07, -1.714776199230320E+07,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  1.899586019614038E+07,  9.830555891118696E+07,  4.296257962041362E+07,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000, -1.065406277460248E+08,  2.522755016779473E+06,  7.894165102542497E+06,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  7.804659244790306E+06, -9.781107753338894E+07, -4.443678947162087E+07,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  1.079301513394139E+08,  1.856070823200858E+07,  1.486371141502907E+06,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000, -2.732169074512754E+07,  9.513834470822532E+07,  4.446494309926083E+07,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000, -9.909477941900043E+07, -3.867249778838491E+07, -1.109788522405371E+07,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  5.141810828305069E+07, -8.549007445350260E+07, -4.168174481762902E+07,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  9.108101074767886E+07,  5.717007656269907E+07,  1.988797619786991E+07,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000, -6.850639195564267E+07,  7.462990799183698E+07,  3.785290669956894E+07,
