"spkid","full_name","diameter","extent","rot_per","orbit_id","epoch","e","a","q","i","w","ad","per","per_y","sigma_e","sigma_a","sigma_q","sigma_i","sigma_per","first_obs","last_obs"
2000588,"   588 Achilles (A906 DN)",130.099,,7.306,"JPL 95",2459600.5,0.1480,5.209,4.438,10.32,133.50,5.98,4.34e+03,11.9,2.3e-08,5.0e-08,1.5e-07,4.3e-07,6.3e-05,1906-02-22,2022-03-09
2000617,"   617 Patroclus (A906 UL)",140.362,,102.8,"JPL 82",2459600.5,0.1397,5.211,4.483,22.06,308.08,5.94,4.35e+03,11.9,6.0e-08,3.1e-07,5.8e-07,7.4e-07,3.8e-04,2013-10-21,2021-04-05
2000624,"   624 Hektor (A907 CF)",225,,6.924,"JPL 116",2459600.5,0.0226,5.267,5.148,18.16,181.56,5.39,4.42e+03,12.1,1.8e-08,4.7e-08,1.0e-07,3.9e-07,5.9e-05,1907-02-11,2022-03-13
2000659,"   659 Nestor (A908 FE)",112.320,,15.98,"JPL 98",2459600.5,0.1172,5.166,4.561,4.52,343.85,5.77,4.29e+03,11.7,2.3e-08,5.1e-08,1.3e-07,7.2e-07,6.3e-05,1908-03-23,2022-03-16
2000884,"   884 Priamus (A917 SU)",101.093,,6.8605,"JPL 48",2459600.5,0.1247,5.191,4.544,8.91,335.88,5.84,4.32e+03,11.8,3.1e-08,5.4e-08,1.9e-07,2.4e-06,6.7e-05,1917-11-08,2021-10-22
2000911,"   911 Agamemnon (A919 FB)",131.038,,6.592,"JPL 108",2459600.5,0.0672,5.28,4.925,21.76,81.04,5.64,4.43e+03,12.1,2.7e-08,5.0e-08,1.7e-07,1.2e-06,6.3e-05,1919-03-19,2022-03-13
2001143,"  1143 Odysseus (1930 BH)",114.624,,10.114,"JPL 91",2459600.5,0.0917,5.241,4.761,3.14,237.02,5.72,4.38e+03,12,1.8e-08,5.4e-08,1.3e-07,2.4e-06,6.8e-05,1998-01-08,2022-02-21
2001172,"  1172 Aneas (1930 UA)",118.020,,8.705,"JPL 101",2459600.5,0.1061,5.225,4.671,16.66,50.81,5.78,4.36e+03,11.9,4.3e-08,5.4e-08,2.5e-07,4.2e-06,6.8e-05,1930-10-17,2021-10-28
2001173,"  1173 Anchises (1930 UB)",99.549,,11.595,"JPL 58",2459600.5,0.1393,5.283,4.547,6.92,41.07,6.02,4.44e+03,12.1,2.0e-08,5.5e-08,1.3e-07,1.3e-06,7.0e-05,1930-10-17,2021-08-25
2001208,"  1208 Troilus (1931 YA)",100.477,,56.17,"JPL 58",2459600.5,0.0925,5.253,4.767,33.54,295.44,5.74,4.4e+03,12,2.3e-08,4.6e-08,1.4e-07,1.1e-06,5.7e-05,1931-12-31,2021-10-25
2001404,"  1404 Ajax (1936 QW)",83.990,,29.411,"JPL 48",2459600.5,0.1142,5.287,4.683,18.03,61.41,5.89,4.44e+03,12.2,3.6e-08,6.4e-08,2.3e-07,1.9e-06,8.0e-05,1936-08-17,2022-03-09
