            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
2305586.500000000, A.D. 1600-May-19 00:00:00.0000, -7.545835517556778E+08, -1.708090612238038E+08, -2.337573687658305E+08,  3.120279438758582E-02,  8.082169135997436E+08,  5.323268836169529E+04,
2305596.500000000, A.D. 1600-May-29 00:00:00.0000, -7.520169666795319E+08, -1.812036011738040E+08, -2.360260180742500E+08,  3.122327932662143E-02,  8.087475158912238E+08,  5.288618092790308E+04,
2305606.500000000, A.D. 1600-Jun-08 00:00:00.0000, -7.493098409279407E+08, -1.915641963205658E+08, -2.382505157520011E+08,  3.124362865578251E-02,  8.092746056064621E+08,  5.253018996409337E+04,
2305616.500000000, A.D. 1600-Jun-18 00:00:00.0000, -7.464629543175474E+08, -2.018889815767320E+08, -2.404305324888497E+08,  3.126383873332529E-02,  8.097980884167626E+08,  5.216481689847288E+04,
2305626.500000000, A.D. 1600-Jun-28 00:00:00.0000, -7.434771081003052E+08, -2.121761053506211E+08, -2.425657480533659E+08,  3.128390595678752E-02,  8.103178710109013E+08,  5.179016379438285E+04,
2305636.500000000, A.D. 1600-Jul-08 00:00:00.0000, -7.403531246628894E+08, -2.224237297346976E+08, -2.446558512715144E+08,  3.130382676323021E-02,  8.108338611013893E+08,  5.140633333162988E+04,
2305646.500000000, A.D. 1600-Jul-18 00:00:00.0000, -7.370918472276831E+08, -2.326300306880767E+08, -2.467005400039868E+08,  3.132359762946986E-02,  8.113459674304866E+08,  5.101342877170999E+04,
2305656.500000000, A.D. 1600-Jul-28 00:00:00.0000, -7.336941395551926E+08, -2.427931982130198E+08, -2.486995211221330E+08,  3.134321507228850E-02,  8.118540997756429E+08,  5.061155386897291E+04,
2305666.500000000, A.D. 1600-Aug-07 00:00:00.0000, -7.301608856473839E+08, -2.529114365257283E+08, -2.506525104822420E+08,  3.136267564859879E-02,  8.123581689537750E+08,  5.020081275311436E+04,
2305676.500000000, A.D. 1600-Aug-17 00:00:00.0000, -7.264929894523333E+08, -2.629829642224377E+08, -2.525592328986733E+08,  3.138197595559235E-02,  8.128580868251077E+08,  4.978130997474101E+04,
2305686.500000000, A.D. 1600-Aug-27 00:00:00.0000, -7.226913745713915E+08, -2.730060144407779E+08, -2.544194221165044E+08,  3.140111263091851E-02,  8.133537662978033E+08,  4.935315057215846E+04,
2305696.500000000, A.D. 1600-Sep-06 00:00:00.0000, -7.187569839685981E+08, -2.829788350159516E+08, -2.562328207833897E+08,  3.142008235287183E-02,  8.138451213328207E+08,  4.891644006801698E+04,
2305706.500000000, A.D. 1600-Sep-16 00:00:00.0000, -7.146907796822098E+08, -2.928996886321551E+08, -2.579991804206987E+08,  3.143888184058607E-02,  8.143320669489387E+08,  4.847128451756835E+04,
2305716.500000000, A.D. 1600-Sep-26 00:00:00.0000, -7.104937425389171E+08, -3.027668529693640E+08, -2.597182613943676E+08,  3.145750785425769E-02,  8.148145192285436E+08,  4.801779060146322E+04,
2305726.500000000, A.D. 1600-Oct-06 00:00:00.0000, -7.061668718710897E+08, -3.125786208449529E+08, -2.613898328855001E+08,  3.147595719539872E-02,  8.152923953241822E+08,  4.755606566992889E+04,
2305736.500000000, A.D. 1600-Oct-16 00:00:00.0000, -7.017111852366985E+08, -3.223333003494791E+08, -2.630136728602087E+08,  3.149422670708470E-02,  8.157656134649808E+08,  4.708621766201387E+04,
2305746.500000000, A.D. 1600-Oct-26 00:00:00.0000, -6.971277181409035E+08, -3.320292149763279E+08, -2.645895680378478E+08,  3.151231327413993E-02,  8.162340929614459E+08,  4.660835486166910E+04,
2305756.500000000, A.D. 1600-Nov-05 00:00:00.0000, -6.924175237579859E+08, -3.416647037459291E+08, -2.661173138569915E+08,  3.153021382321192E-02,  8.166977542073904E+08,  4.612258561404109E+04,
2305766.500000000, A.D. 1600-Nov-15 00:00:00.0000, -6.875816726538345E+08, -3.512381213263046E+08, -2.675967144398913E+08,  3.154792532277584E-02,  8.171565186800514E+08,  4.562901826488379E+04,
2305776.500000000, A.D. 1600-Nov-25 00:00:00.0000, -6.826212525104982E+08, -3.607478381504362E+08, -2.690275825564735E+08,  3.156544478314131E-02,  8.176103089402645E+08,  4.512776118968955E+04,
2305786.500000000, A.D. 1600-Dec-05 00:00:00.0000, -6.775373678531193E+08, -3.701922405300424E+08, -2.704097395879427E+08,  3.158276925646546E-02,  8.180590486328018E+08,  4.461892280444165E+04,
2305796.500000000, A.D. 1600-Dec-15 00:00:00.0000, -6.723311397793151E+08, -3.795697307658691E+08, -2.717430154901176E+08,  3.159989583677673E-02,  8.185026624869889E+08,  4.410261161563776E+04,
2305806.500000000, A.D. 1600-Dec-25 00:00:00.0000, -6.670037056913944E+08, -3.888787272545677E+08, -2.730272487567667E+08,  3.161682166002458E-02,  8.189410763179938E+08,  4.357893629870845E+04,
2305816.500000000, A.D. 1601-Jan-04 00:00:00.0000, -6.615562190316607E+08, -3.981176645920122E+08, -2.742622863829955E+08,  3.163354390415893E-02,  8.193742170288815E+08,  4.304800576673826E+04,
2305826.500000000, A.D. 1601-Jan-14 00:00:00.0000, -6.559898490208095E+08, -4.072849936728436E+08, -2.754479838285470E+08,  3.165005978922966E-02,  8.198020126131945E+08,  4.250992920188463E+04,
2305836.500000000, A.D. 1601-Jan-24 00:00:00.0000, -6.503057803991066E+08, -4.163791817859685E+08, -2.765842049806522E+08,  3.166636657748229E-02,  8.202243921574286E+08,  4.196481599250413E+04,
2305846.500000000, A.D. 1601-Feb-03 00:00:00.0000, -6.445052131695089E+08, -4.253987127061539E+08, -2.776708221160271E+08,  3.168246157341655E-02,  8.206412858425521E+08,  4.141277564095955E+04,
2305856.500000000, A.D. 1601-Feb-13 00:00:00.0000, -6.385893623429039E+08, -4.343420867826468E+08, -2.787077158625221E+08,  3.169834212383543E-02,  8.210526249452742E+08,  4.085391780303162E+04,
2305866.500000000, A.D. 1601-Feb-23 00:00:00.0000, -6.325594576862305E+08, -4.432078210247365E+08, -2.796947751607527E+08,  3.171400561790871E-02,  8.214583418396925E+08,  4.028835229164680E+04,
2305876.500000000, A.D. 1601-Mar-05 00:00:00.0000, -6.264167434730501E+08, -4.519944491838356E+08, -2.806318972252401E+08,  3.172944948722026E-02,  8.218583699985161E+08,  3.971618900391214E+04,
2305886.500000000, A.D. 1601-Mar-15 00:00:00.0000, -6.201624782361275E+08, -4.607005218324491E+08, -2.815189875050032E+08,  3.174467120578959E-02,  8.222526439936259E+08,  3.913753787418010E+04,
2305896.500000000, A.D. 1601-Mar-25 00:00:00.0000, -6.137979345222102E+08, -4.693246064405173E+08, -2.823559596439480E+08,  3.175966829008649E-02,  8.226410994964528E+08,  3.855250888353129E+04,
2305906.500000000, A.D. 1601-Apr-04 00:00:00.0000, -6.073243986493928E+08, -4.778652874493292E+08, -2.831427354413601E+08,  3.177443829905725E-02,  8.230236732786565E+08,  3.796121210596804E+04,
2305916.500000000, A.D. 1601-Apr-14 00:00:00.0000, -6.007431704673970E+08, -4.863211663429615E+08, -2.838792448126146E+08,  3.178897883417053E-02,  8.234003032133149E+08,  3.736375775513484E+04,
2305926.500000000, A.D. 1601-Apr-24 00:00:00.0000, -5.940555631207200E+08, -4.946908617169344E+08, -2.845654257498801E+08,  3.180328753946900E-02,  8.237709282762589E+08,  3.676025615605227E+04,
2305936.500000000, A.D. 1601-May-04 00:00:00.0000, -5.872629028140122E+08, -5.029730093441695E+08, -2.852012242825556E+08,  3.181736210160348E-02,  8.241354885469612E+08,  3.615081772146063E+04,
