            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2305447.500000000, A.D. 1600-Jan-01 00:00:00.0000, -7.753296313650854E+08, -2.386300817644975E+07, -1.978529531065841E+08,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000, -7.698354033066119E+08, -8.771935244736797E+07, -2.143239763816386E+08,
2305567.500000000, A.D. 1600-Apr-30 00:00:00.0000, -7.590701765348266E+08, -1.509726553954015E+08, -2.293265166969616E+08,
2305627.500000000, A.D. 1600-Jun-29 00:00:00.0000, -7.431709121806207E+08, -2.132026754675195E+08, -2.427767934868013E+08,
2305687.500000000, A.D. 1600-Aug-28 00:00:00.0000, -7.223038946935209E+08, -2.740055856148261E+08, -2.546028717273432E+08,
2305747.500000000, A.D. 1600-Oct-27 00:00:00.0000, -6.966623839016050E+08, -3.329955102878803E+08, -2.647445126408291E+08,
2305807.500000000, A.D. 1600-Dec-26 00:00:00.0000, -6.664643402218360E+08, -3.898057993384339E+08, -2.731529687743589E+08,
2305867.500000000, A.D. 1601-Feb-24 00:00:00.0000, -6.319502420401306E+08, -4.440900676620464E+08, -2.797907361672389E+08,
2305927.500000000, A.D. 1601-Apr-25 00:00:00.0000, -5.933810024790127E+08, -4.955230384888901E+08, -2.846312736324816E+08,
2305987.500000000, A.D. 1601-Jun-24 00:00:00.0000, -5.510360011055814E+08, -5.438012240581214E+08, -2.876587054963560E+08,
2306047.500000000, A.D. 1601-Aug-23 00:00:00.0000, -5.052112328019451E+08, -5.886434706955750E+08, -2.888675157982788E+08,
2306107.500000000, A.D. 1601-Oct-22 00:00:00.0000, -4.562175679949111E+08, -6.297913924179751E+08, -2.882622363295939E+08,
2306167.500000000, A.D. 1601-Dec-21 00:00:00.0000, -4.043791189878020E+08, -6.670097278498846E+08, -2.858571394516325E+08,
2306227.500000000, A.D. 1602-Feb-19 00:00:00.0000, -3.500317127000821E+08, -7.000866378226789E+08, -2.816759415091341E+08,
2306287.500000000, A.D. 1602-Apr-20 00:00:00.0000, -2.935214518632682E+08, -7.288339621973039E+08, -2.757515155918565E+08,
2306347.500000000, A.D. 1602-Jun-19 00:00:00.0000, -2.352033543742374E+08, -7.530874551032320E+08, -2.681256171561907E+08,
2306407.500000000, A.D. 1602-Aug-18 00:00:00.0000, -1.754400568824880E+08, -7.727070191220324E+08, -2.588486272009701E+08,
2306467.500000000, A.D. 1602-Oct-17 00:00:00.0000, -1.146005741377815E+08, -7.875769432444203E+08, -2.479793094348956E+08,
2306527.500000000, A.D. 1602-Dec-16 00:00:00.0000, -5.305908671261318E+07, -7.976061553979197E+08, -2.355845786119894E+08,
2306587.500000000, A.D. 1603-Feb-14 00:00:00.0000,  8.806251695505608E+06, -8.027285029889108E+08, -2.217392832039160E+08,
2306647.500000000, A.D. 1603-Apr-15 00:00:00.0000,  7.061450671493441E+07, -8.029030626382620E+08, -2.065259969612266E+08,
2306707.500000000, A.D. 1603-Jun-14 00:00:00.0000,  1.319831724197857E+08, -7.981144780407251E+08, -1.900348140070019E+08,
2306767.500000000, A.D. 1603-Aug-13 00:00:00.0000,  1.925294217801938E+08, -7.883733305737737E+08, -1.723631458445148E+08,
2306827.500000000, A.D. 1603-Oct-12 00:00:00.0000,  2.518714084572686E+08, -7.737165423827654E+08, -1.536155155141238E+08,
2306887.500000000, A.D. 1603-Dec-11 00:00:00.0000,  3.096296412347806E+08, -7.542077964002600E+08, -1.339033386024653E+08,
2306947.500000000, A.D. 1604-Feb-09 00:00:00.0000,  3.654284526808324E+08, -7.299379676501436E+08, -1.133446866605167E+08,
2307007.500000000, A.D. 1604-Apr-09 00:00:00.0000,  4.188975791709781E+08, -7.010255597997086E+08, -9.206402714653406E+07,
2307067.500000000, A.D. 1604-Jun-08 00:00:00.0000,  4.696738618313506E+08, -6.676171222021712E+08, -7.019192770504424E+07,
2307127.500000000, A.D. 1604-Aug-07 00:00:00.0000,  5.174030912723427E+08, -6.298876264814798E+08, -4.786471657052916E+07,
2307187.500000000, A.D. 1604-Oct-06 00:00:00.0000,  5.617420080814531E+08, -5.880407834154897E+08, -2.522408979028982E+07,
2307247.500000000, A.D. 1604-Dec-05 00:00:00.0000,  6.023604660860212E+08, -5.423092734089258E+08, -2.416653457174093E+06,
2307307.500000000, A.D. 1605-Feb-03 00:00:00.0000,  6.389437582829831E+08, -4.929548454613162E+08,  2.040661143748483E+07,
2307367.500000000, A.D. 1605-Apr-04 00:00:00.0000,  6.711951194096782E+08, -4.402682588133757E+08,  4.309097162655063E+07,
2307427.500000000, A.D. 1605-Jun-03 00:00:00.0000,  6.988383869275539E+08, -3.845690267084997E+08,  6.547866368131620E+07,
2307487.500000000, A.D. 1605-Aug-02 00:00:00.0000,  7.216208108347173E+08, -3.262049163581359E+08,  8.740972589764926E+07,
2307547.500000000, A.D. 1605-Oct-01 00:00:00.0000,  7.393159896661433E+08, -2.655511603014622E+08,  1.087229475032813E+08,
2307607.500000000, A.D. 1605-Nov-30 00:00:00.0000,  7.517269138952492E+08, -2.030093432250978E+08,  1.292569436731432E+08,
2307667.500000000, A.D. 1606-Jan-29 00:00:00.0000,  7.586890594770186E+08, -1.390059179002271E+08,  1.488513552995162E+08,
2307727.500000000, A.D. 1606-Mar-30 00:00:00.0000,  7.600734988302929E+08, -7.399030222228271E+07,  1.673481739900244E+08,
2307787.500000000, A.D. 1606-May-29 00:00:00.0000,  7.557899720745735E+08, -8.432527475375719E+06,  1.845931873461809E+08,
2307847.500000000, A.D. 1606-Jul-28 00:00:00.0000,  7.457898506911092E+08,  5.717959714427538E+07,  2.004375345906232E+08,
2307907.500000000, A.D. 1606-Sep-26 00:00:00.0000,  7.300689094349436E+08,  1.223438341875888E+08,  2.147393542584151E+08,
2307967.500000000, A.D. 1606-Nov-25 00:00:00.0000,  7.086698328373240E+08,  1.865474008042776E+08,  2.273655106429861E+08,
2308027.500000000, A.D. 1607-Jan-24 00:00:00.0000,  6.816843533633891E+08,  2.492713783612255E+08,  2.381933714714611E+08,
2308087.500000000, A.D. 1607-Mar-25 00:00:00.0000,  6.492549115963260E+08,  3.099956361556358E+08,  2.471126027711757E+08,
2308147.500000000, A.D. 1607-May-24 00:00:00.0000,  6.115757343357600E+08,  3.682042350784993E+08,  2.540269465465032E+08,
2308207.500000000, A.D. 1607-Jul-23 00:00:00.0000,  5.688932327259946E+08,  4.233912425169660E+08,  2.588559425006938E+08,
2308267.500000000, A.D. 1607-Sep-21 00:00:00.0000,  5.215056109580974E+08,  4.750668646004518E+08,  2.615365370965649E+08,
2308327.500000000, A.D. 1607-Nov-20 00:00:00.0000,  4.697616092496032E+08,  5.227637862031358E+08,  2.620245339260857E+08,
2308387.500000000, A.D. 1608-Jan-19 00:00:00.0000,  4.140583217102822E+08,  5.660435781584938E+08,  2.602958337757646E+08,
2308447.500000000, A.D. 1608-Mar-19 00:00:00.0000,  3.548380645527960E+08,  6.045030070206705E+08,  2.563474133865560E+08,
2308507.500000000, A.D. 1608-May-18 00:00:00.0000,  2.925842812795533E+08,  6.377800718675693E+08,  2.501979860942715E+08,
2308567.500000000, A.D. 1608-Jul-17 00:00:00.0000,  2.278165385896105E+08,  6.655596032595292E+08,  2.418883199814472E+08,
2308627.500000000, A.D. 1608-Sep-15 00:00:00.0000,  1.610846892976717E+08,  6.875782357990092E+08,  2.314811757201858E+08,
2308687.500000000, A.D. 1608-Nov-14 00:00:00.0000,  9.296231716768444E+07,  7.036285964412892E+08,  2.190608492279397E+08,
2308747.500000000, A.D. 1609-Jan-13 00:00:00.0000,  2.403960807198193E+07,  7.135625657766978E+08,  2.047323152214311E+08,
2308807.500000000, A.D. 1609-Mar-14 00:00:00.0000, -4.508416787000595E+07,  7.172935177198472E+08,  1.886199951132237E+08,
2308867.500000000, A.D. 1609-May-13 00:00:00.0000, -1.138083660385142E+08,  7.147974463505392E+08,  1.708661657671191E+08,
2308927.500000000, A.D. 1609-Jul-12 00:00:00.0000, -1.815386749586267E+08,  7.061129608876200E+08,  1.516290567392948E+08,
2308987.500000000, A.D. 1609-Sep-10 00:00:00.0000, -2.476946128769183E+08,  6.913401634778335E+08,  1.310806906044210E+08,
2309047.500000000, A.D. 1609-Nov-09 00:00:00.0000, -3.117166208422415E+08,  6.706384653104689E+08,  1.094045268328773E+08,
2309107.500000000, A.D. 1610-Jan-08 00:00:00.0000, -3.730725855979042E+08,  6.442234222978715E+08,  8.679297246499702E+07,
2309167.500000000, A.D. 1610-Mar-09 00:00:00.0000, -4.312636578377963E+08,  6.123627289536209E+08,  6.344483257530060E+07,
2309227.500000000, A.D. 1610-May-08 00:00:00.0000, -4.858292517680525E+08,  5.753715167506446E+08,  3.956276411509225E+07,
2309287.500000000, A.D. 1610-Jul-07 00:00:00.0000, -5.363511513828948E+08,  5.336071124710147E+08,  1.535079203789419E+07,
2309347.500000000, A.D. 1610-Sep-05 00:00:00.0000, -5.824567011660235E+08,  4.874634246707428E+08, -8.988056070221156E+06,
2309407.500000000, A.D. 1610-Nov-04 00:00:00.0000, -6.238210808864974E+08,  4.373651407467200E+08, -3.325395117185405E+07,
2309467.500000000, A.D. 1611-Jan-03 00:00:00.0000, -6.601686899027964E+08,  3.837618750544432E+08, -5.725226491807963E+07,
2309527.500000000, A.D. 1611-Mar-04 00:00:00.0000, -6.912737103690972E+08,  3.271224132381986E+08, -8.079534592000687E+07,
2309587.500000000, A.D. 1611-May-03 00:00:00.0000, -7.169599364910330E+08,  2.679291694483783E+08, -1.037040552284846E+08,
2309647.500000000, A.D. 1611-Jul-02 00:00:00.0000, -7.370999621409720E+08,  2.066729606741458E+08, -1.258090564917624E+08,
2309707.500000000, A.D. 1611-Aug-31 00:00:00.0000, -7.516138224248723E+08,  1.438481476291513E+08, -1.469518609409721E+08,
2309767.500000000, A.D. 1611-Oct-30 00:00:00.0000, -7.604672126684740E+08,  7.994819989400381E+07, -1.669856436535138E+08,
2309827.500000000, A.D. 1611-Dec-29 00:00:00.0000, -7.636693717549237E+08,  1.546170602460106E+07, -1.857758460214519E+08,
