            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2305447.500000000, A.D. 1600-Jan-01 00:00:00.0000, -7.753296313650854E+08,  5.680750303056446E+07, -1.910186949271141E+08,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000, -7.698354033066119E+08,  4.772249406322367E+06, -2.315311583381956E+08,
2305567.500000000, A.D. 1600-Apr-30 00:00:00.0000, -7.590701765348266E+08, -4.729385359674305E+07, -2.704564389129427E+08,
2305627.500000000, A.D. 1600-Jun-29 00:00:00.0000, -7.431709121806207E+08, -9.903856788715699E+07, -3.075505069953591E+08,
2305687.500000000, A.D. 1600-Aug-28 00:00:00.0000, -7.223038946935209E+08, -1.501200035005640E+08, -3.425867303164622E+08,
2305747.500000000, A.D. 1600-Oct-27 00:00:00.0000, -6.966623839016050E+08, -2.002080881518542E+08, -3.753563483996179E+08,
2305807.500000000, A.D. 1600-Dec-26 00:00:00.0000, -6.664643402218360E+08, -2.489858175301287E+08, -4.056687912780262E+08,
2305867.500000000, A.D. 1601-Feb-24 00:00:00.0000, -6.319502420401306E+08, -2.961503077343161E+08, -4.333518656587927E+08,
2305927.500000000, A.D. 1601-Apr-25 00:00:00.0000, -5.933810024790127E+08, -3.414136806407666E+08, -4.582518328105577E+08,
2305987.500000000, A.D. 1601-Jun-24 00:00:00.0000, -5.510360011055814E+08, -3.845038066531941E+08, -4.802334065890810E+08,
2306047.500000000, A.D. 1601-Aug-23 00:00:00.0000, -5.052112328019451E+08, -4.251649264419797E+08, -4.991796896905834E+08,
2306107.500000000, A.D. 1601-Oct-22 00:00:00.0000, -4.562175679949111E+08, -4.631581728593060E+08, -5.149920599107716E+08,
2306167.500000000, A.D. 1601-Dec-21 00:00:00.0000, -4.043791189878020E+08, -4.982620205940131E+08, -5.275900302843283E+08,
2306227.500000000, A.D. 1602-Feb-19 00:00:00.0000, -3.500317127000821E+08, -5.302726771886845E+08, -5.369110953501196E+08,
2306287.500000000, A.D. 1602-Apr-20 00:00:00.0000, -2.935214518632682E+08, -5.590044329267911E+08, -5.429105697733501E+08,
2306347.500000000, A.D. 1602-Jun-19 00:00:00.0000, -2.352033543742374E+08, -5.842899858016671E+08, -5.455614301810002E+08,
2306407.500000000, A.D. 1602-Aug-18 00:00:00.0000, -1.754400568824880E+08, -6.059807585345309E+08, -5.448541726831119E+08,
2306467.500000000, A.D. 1602-Oct-17 00:00:00.0000, -1.146005741377815E+08, -6.239472134890610E+08, -5.407966847321354E+08,
2306527.500000000, A.D. 1602-Dec-16 00:00:00.0000, -5.305908671261318E+07, -6.380791765118601E+08, -5.334141330245998E+08,
2306587.500000000, A.D. 1603-Feb-14 00:00:00.0000,  8.806251695505608E+06, -6.482861807727383E+08, -5.227488757000828E+08,
2306647.500000000, A.D. 1603-Apr-15 00:00:00.0000,  7.061450671493441E+07, -6.544978338537743E+08, -5.088603943081508E+08,
2306707.500000000, A.D. 1603-Jun-14 00:00:00.0000,  1.319831724197857E+08, -6.566642092363178E+08, -4.918252402032009E+08,
2306767.500000000, A.D. 1603-Aug-13 00:00:00.0000,  1.925294217801938E+08, -6.547562670736660E+08, -4.717369957223627E+08,
2306827.500000000, A.D. 1603-Oct-12 00:00:00.0000,  2.518714084572686E+08, -6.487663058941542E+08, -4.487062456662092E+08,
2306887.500000000, A.D. 1603-Dec-11 00:00:00.0000,  3.096296412347806E+08, -6.387084350708876E+08, -4.228605434527090E+08,
2306947.500000000, A.D. 1604-Feb-09 00:00:00.0000,  3.654284526808324E+08, -6.246190646424273E+08, -3.943443656204715E+08,
2307007.500000000, A.D. 1604-Apr-09 00:00:00.0000,  4.188975791709781E+08, -6.065574092862523E+08, -3.633190468815010E+08,
2307067.500000000, A.D. 1604-Jun-08 00:00:00.0000,  4.696738618313506E+08, -5.846059885788500E+08, -3.299626746924635E+08,
2307127.500000000, A.D. 1604-Aug-07 00:00:00.0000,  5.174030912723427E+08, -5.588711075891784E+08, -2.944699274779927E+08,
2307187.500000000, A.D. 1604-Oct-06 00:00:00.0000,  5.617420080814531E+08, -5.294833038510679E+08, -2.570518403136013E+08,
2307247.500000000, A.D. 1604-Dec-05 00:00:00.0000,  6.023604660860212E+08, -4.965977409073932E+08, -2.179354766092998E+08,
2307307.500000000, A.D. 1605-Feb-03 00:00:00.0000,  6.389437582829831E+08, -4.603945119806536E+08, -1.773634764889503E+08,
2307367.500000000, A.D. 1605-Apr-04 00:00:00.0000,  6.711951194096782E+08, -4.210788340996562E+08, -1.355934623333880E+08,
2307427.500000000, A.D. 1605-Jun-03 00:00:00.0000,  6.988383869275539E+08, -3.788811002458288E+08, -9.289727432774276E+07,
2307487.500000000, A.D. 1605-Aug-02 00:00:00.0000,  7.216208108347173E+08, -3.340567514857225E+08, -4.956000831846986E+07,
2307547.500000000, A.D. 1605-Oct-01 00:00:00.0000,  7.393159896661433E+08, -2.868859309806394E+08, -5.878831229585375E+06,
2307607.500000000, A.D. 1605-Nov-30 00:00:00.0000,  7.517269138952492E+08, -2.376728902802275E+08,  3.783844804231040E+07,
2307667.500000000, A.D. 1606-Jan-29 00:00:00.0000,  7.586890594770186E+08, -1.867451049625721E+08,  8.127506972193515E+07,
2307727.500000000, A.D. 1606-Mar-30 00:00:00.0000,  7.600734988302929E+08, -1.344520557561729E+08,  1.241072957713575E+08,
2307787.500000000, A.D. 1606-May-29 00:00:00.0000,  7.557899720745735E+08, -8.116364576353352E+07,  1.660066713738242E+08,
2307847.500000000, A.D. 1606-Jul-28 00:00:00.0000,  7.457898506911092E+08, -2.726821775524782E+07,  2.066425800816504E+08,
2307907.500000000, A.D. 1606-Sep-26 00:00:00.0000,  7.300689094349436E+08,  2.682986366831104E+07,  2.456850879613599E+08,
2307967.500000000, A.D. 1606-Nov-25 00:00:00.0000,  7.086698328373240E+08,  8.071308778298050E+07,  2.828080720865557E+08,
2308027.500000000, A.D. 1607-Jan-24 00:00:00.0000,  6.816843533633891E+08,  1.339541363679328E+08,  3.176926055686030E+08,
2308087.500000000, A.D. 1607-Mar-25 00:00:00.0000,  6.492549115963260E+08,  1.861196871672696E+08,  3.500305628550740E+08,
2308147.500000000, A.D. 1607-May-24 00:00:00.0000,  6.115757343357600E+08,  2.367746645350910E+08,  3.795284001702347E+08,
2308207.500000000, A.D. 1607-Jul-23 00:00:00.0000,  5.688932327259946E+08,  2.854868896424981E+08,  4.059110481992760E+08,
2308267.500000000, A.D. 1607-Sep-21 00:00:00.0000,  5.215056109580974E+08,  3.318320666558104E+08,  4.289258276400487E+08,
2308327.500000000, A.D. 1607-Nov-20 00:00:00.0000,  4.697616092496032E+08,  3.753990226512424E+08,  4.483463017993038E+08,
2308387.500000000, A.D. 1608-Jan-19 00:00:00.0000,  4.140583217102822E+08,  4.157950928496232E+08,  4.639759629740150E+08,
2308447.500000000, A.D. 1608-Mar-19 00:00:00.0000,  3.548380645527960E+08,  4.526515203809391E+08,  4.756516403249704E+08,
2308507.500000000, A.D. 1608-May-18 00:00:00.0000,  2.925842812795533E+08,  4.856287321552166E+08,  4.832465073048620E+08,
2308567.500000000, A.D. 1608-Jul-17 00:00:00.0000,  2.278165385896105E+08,  5.144213492531306E+08,  4.866726006947767E+08,
2308627.500000000, A.D. 1608-Sep-15 00:00:00.0000,  1.610846892976717E+08,  5.387627738850141E+08,  4.858827415467674E+08,
2308687.500000000, A.D. 1608-Nov-14 00:00:00.0000,  9.296231716768444E+07,  5.584292140118786E+08,  4.808717815930566E+08,
